Data type: pos_diff_start, num_epochs: 1000, 	 lr: 0.01 
, 179.3839470358, 85.6438347312, 85.6438247173] 

[20, 169.9703153722, 113.9541231043, 113.954115545] 

[30, 164.8523667279, 67.1510727826, 67.1510674569] 

[40, 175.9059914982, 102.9082677505, 102.9082765408] 

[50, 177.441205193, 94.4848632812, 94.4848644774] 

[60, 182.3863453585, 93.4756218405, 93.4756181019] 

[70, 189.4602338006, 155.4993106618, 155.4992953577] 

[80, 184.5130256204, 191.001551011, 191.001551344] 

[90, 184.5146197151, 59.1672794118, 59.1672817374] 

[100, 162.3164493336, 41.5406924977, 41.5406980532] 

[110, 175.4634363511, 53.0608448702, 53.0608461512] 

[120, 170.7657686121, 162.7759076287, 162.7759045549] 

[130, 175.9013959099, 88.2684828814, 88.2684831269] 

[140, 170.9764476103, 89.6676599839, 89.6676608286] 

[150, 180.4468347886, 73.2629179113, 73.2629070362] 

[160, 178.4544175092, 71.6351892808, 71.6351986692] 

[170, 170.3989545037, 128.7848977482, 128.7849017762] 

[180, 168.0367359835, 81.7190946691, 81.7191030257] 

[190, 171.1643497243, 69.3850672105, 69.3850680926] 

[200, 183.0750086167, 136.9832117417, 136.9832176988] 

[210, 185.8892894072, 108.1889289407, 108.1889435376] 

[220, 182.6492130055, 154.7050494026, 154.705046002] 

[230, 172.0932617188, 122.9891429228, 122.989142101] 

[240, 181.9995404412, 38.0917645623, 38.0917630327] 

[250, 186.7214499081, 126.2903119256, 126.2903011235] 

[260, 179.4580652574, 86.3860294118, 86.3860275801] 

[270, 168.990708295, 43.5020249311, 43.502029739] 

[280, 195.634162454, 65.3751507927, 65.3751583805] 

[290, 182.8638987822, 69.6982996324, 69.698303618] 

[300, 169.7030101103, 94.3014777688, 94.301472085] 

[310, 170.1443732767, 71.5758702895, 71.5758715019] 

[320, 170.2710678998, 68.1395191866, 68.1395062173] 

[330, 186.3246495864, 182.2370174632, 182.2370039191] 

[340, 175.4270450368, 45.3529842601, 45.3529841412] 

[350, 164.9940975414, 147.6205480239, 147.6205511905] 

[360, 172.1046070772, 103.2283432904, 103.228338232] 

[370, 190.6638039982, 30.4067131491, 30.4067098505] 

[380, 176.2784782858, 81.1713651769, 81.1713595379] 

[390, 182.2090992647, 143.1441004136, 143.1440876012] 

[400, 169.8401309743, 99.6545553768, 99.6545590304] 

[410, 181.217198989, 133.4252786075, 133.4252895333] 

[420, 173.6688735064, 60.6125201057, 60.612518084] 

[430, 182.9360351562, 199.3421128217, 199.3421351057] 

[440, 183.1444594439, 45.1015194164, 45.1015241758] 

[450, 175.3678768382, 57.633853688, 57.6338609588] 

[460, 174.4126263787, 79.2074836282, 79.2074950694] 

[470, 169.1553308824, 171.9386632583, 171.9386723973] 

[480, 180.6171300551, 77.2761733111, 77.2761724771] 

[490, 182.6975528493, 90.2715059168, 90.271501825] 

[500, 180.5880055147, 91.162949506, 91.1629361286] 

[510, 173.8265452665, 54.1755514706, 54.175547513] 

[520, 172.1971076517, 99.6029770795, 99.6029641893] 

[530, 169.8506433824, 85.409991096, 85.4099874302] 

[540, 162.1154785156, 37.8551456227, 37.8551467705] 

[550, 186.9398121553, 41.6176829619, 41.6176798429] 

[560, 162.1809943704, 72.7158562155, 72.7158585409] 

[570, 162.6695628447, 99.2180247587, 99.2180168334] 

[580, 170.8909265855, 290.6117876838, 290.6118030245] 

[590, 167.6136977252, 50.5789112764, 50.5789123627] 

[600, 176.1373793658, 63.9272030101, 63.9272008747] 

[610, 174.9094094669, 146.1432387408, 146.1432462205] 

[620, 178.7148868336, 47.0884040384, 47.0884040183] 

[630, 169.8890021829, 49.8902444278, 49.8902497119] 

[640, 175.8348460478, 94.1323242188, 94.1323114607] 

[650, 170.294318704, 52.2561825023, 52.2561763933] 

[660, 165.8354779412, 85.0432775161, 85.0432684016] 

[670, 183.7967888327, 76.5773710363, 76.5773757909] 

[680, 195.6769014246, 130.366110409, 130.3661081552] 

[690, 174.6899988511, 38.8253676471, 38.8253674457] 

[700, 172.0024126838, 64.6956499885, 64.6956443312] 

[710, 183.2768554688, 129.8967715993, 129.8967835407] 

[720, 167.3520795037, 123.1748334099, 123.174832913] 

[730, 189.6315917969, 219.917365579, 219.9173397545] 

[740, 184.9458151425, 115.3699089499, 115.3699161472] 

[750, 174.0129538143, 71.991311466, 71.991314233] 

[760, 161.8395852482, 78.3672377642, 78.3672316568] 

[770, 166.4866297105, 164.5001292509, 164.5001282998] 

[780, 176.7125746783, 121.7494686351, 121.7494529193] 

[790, 177.13671875, 22.5278194652, 22.5278197807] 

[800, 197.5624281939, 139.8332663143, 139.8332564322] 

[810, 173.2891917509, 126.9748965993, 126.9749034264] 

[820, 180.659754136, 172.2349350873, 172.2349319522] 

[830, 175.9121524586, 78.9700353286, 78.9700385558] 

[840, 173.1476476333, 40.5667760512, 40.5667772117] 

[850, 178.6382984835, 89.7404569738, 89.7404588721] 

[860, 183.5838407629, 56.7498025333, 56.7498098188] 

[870, 169.6225155101, 132.6450338925, 132.6450195381] 

[880, 161.7228285846, 73.345904182, 73.3459003146] 

[890, 171.9949735754, 83.5598288143, 83.5598264263] 

[900, 190.8169950597, 127.3318158318, 127.3318468958] 

[910, 195.7160213695, 63.0159553079, 63.0159496495] 

[920, 166.2079360064, 62.4436825023, 62.4436786893] 

[930, 168.5887235754, 91.4397618911, 91.4397504752] 

[940, 185.1688160616, 71.4426197725, 71.442603542] 

[950, 183.4928911994, 73.8733915441, 73.8733937018] 

[960, 176.7388987822, 64.399040671, 64.3990418612] 

[970, 167.446188534, 148.7712115119, 148.7711956546] 

[980, 174.2329819623, 170.9798799403, 170.9798722304] 

[990, 175.717270795, 113.8853257123, 113.8853220512] 

