Data type: pos_diff_start, num_epochs: 1000, 	 lr: 0.0001 
[330, 166.3272633272, 49.1019789752, 49.1019840199] 

[340, 172.9493623621, 55.5833273495, 55.5833270962] 

[350, 173.4940831801, 64.4196490119, 64.4196545914] 

[360, 166.6446461397, 50.7918306239, 50.7918349586] 

[370, 165.6413574219, 48.232859892, 48.2328597272] 

[380, 165.8930807675, 61.1656565947, 61.1656560926] 

[390, 169.3469669118, 48.3034201229, 48.3034195636] 

[400, 168.1177045037, 55.420395795, 55.420391501] 

[410, 169.4330480239, 49.6520421645, 49.6520402329] 

[420, 164.292566636, 44.3031688017, 44.3031699328] 

[430, 165.1320944393, 46.9484504251, 46.9484524317] 

[440, 162.3786764706, 43.3668643727, 43.366866917] 

[450, 172.6578728171, 45.6450482537, 45.6450519463] 

[460, 168.0672392004, 40.9965102252, 40.9965060535] 

[470, 161.5460707721, 40.0316269818, 40.0316306803] 

[480, 156.431640625, 46.4848453297, 46.4848451992] 

[490, 161.3335678998, 58.6978328929, 58.6978308906] 

[500, 162.1359576057, 41.0440494313, 41.0440566801] 

[510, 163.5092773438, 37.8634320427, 37.8634340197] 

[520, 161.8978774127, 37.8776999081, 37.8776976787] 

[530, 163.9283519072, 39.4092299517, 39.4092342984] 

[540, 158.5976993336, 40.8858714384, 40.8858772932] 

[550, 156.7575539982, 37.9209917854, 37.9209923371] 

[560, 155.7995749081, 35.3118788775, 35.3118784817] 

[570, 158.4801097197, 37.1312435375, 37.1312483771] 

[580, 153.4169060202, 36.357823989, 36.357823962] 

[590, 150.3950769761, 37.1247486788, 37.1247489744] 

[600, 151.9819048713, 33.7626450483, 33.7626404541] 

[610, 155.877154182, 55.0684850356, 55.0684911567] 

[620, 161.6535213695, 76.8792940028, 76.8792957771] 

[630, 152.3026769301, 40.4327572093, 40.432758703] 

[640, 154.1859202665, 34.7799610811, 34.7799605452] 

[650, 155.5373822381, 32.8138032801, 32.8138018062] 

[660, 154.0309196921, 50.6523365694, 50.6523370152] 

[670, 149.6683421415, 35.9370799345, 35.9370868779] 

[680, 150.2956542969, 36.394814884, 36.3948171173] 

[690, 150.9222196691, 35.3803100586, 35.3803064802] 

[700, 155.3319738051, 35.7719690659, 35.7719670321] 

[710, 147.5264389936, 38.1528428022, 38.1528399091] 

[720, 144.7530445772, 32.19188017, 32.1918817797] 

[730, 148.2099896599, 31.4696906595, 31.4696910986] 

[740, 143.4335650276, 38.4438835593, 38.4438837924] 

[750, 142.8480440028, 32.2311257755, 32.2311268699] 

[760, 150.0448357077, 32.5701006721, 32.5701030888] 

[770, 144.0060891544, 32.0298928653, 32.0298903355] 

[780, 144.3087373621, 32.8309469784, 32.8309494434] 

[790, 152.0259650735, 40.1210004021, 40.1209996205] 

[800, 142.248448989, 34.175461713, 34.1754594501] 

[810, 147.3901798024, 38.5075934915, 38.5075966618] 

[820, 148.4067526425, 28.8614609662, 28.8614614959] 

[830, 144.9197064568, 35.7594640395, 35.7594709613] 

[840, 143.1439855239, 30.3886431526, 30.3886404949] 

[850, 148.8272346048, 33.8727524701, 33.8727462495] 

[860, 146.5405129825, 29.8599135455, 29.8599176387] 

[870, 147.0728400735, 29.2688472972, 29.2688489657] 

[880, 143.8370576746, 57.0851009593, 57.0851022208] 

[890, 143.5009478401, 29.2454959645, 29.2454969342] 

[900, 141.9694106158, 28.5660651712, 28.5660651576] 

[910, 144.3369284237, 29.738884421, 29.7388848471] 

[920, 149.312701057, 31.810546875, 31.8105489974] 

[930, 139.0825769761, 30.7990148208, 30.7990165073] 

[940, 146.1722914752, 38.627710679, 38.6277073568] 

[950, 138.3934828814, 28.1315020393, 28.1315006079] 

[960, 146.6207347197, 31.8594683479, 31.8594685558] 

[970, 141.7256433824, 41.0999935375, 41.0999881511] 

[980, 146.1727653952, 38.7045539407, 38.7045537334] 

[990, 142.4382467831, 29.033664479, 29.0336645877] 

