Data type: pos_diff_start, num_epochs: 1000, 	 lr: 0.0001 
0, 1344.3019301471, 1068.5067784926, 1068.5068062277] 

[20, 689.7513786765, 317.3577665441, 317.357740243] 

[30, 491.6120174632, 124.0477797564, 124.0477763967] 

[40, 395.4332490809, 344.7445714614, 344.744568353] 

[50, 339.0901309743, 148.3079474954, 148.3079686765] 

[60, 307.0740751379, 243.8971449908, 243.8971746733] 

[70, 279.3331514246, 115.2209903493, 115.2209754033] 

[80, 255.4297449449, 85.2771642348, 85.277163365] 

[90, 237.970502068, 136.6768296186, 136.6768426742] 

[100, 223.2473431756, 66.0517865349, 66.0517872263] 

[110, 212.2037712546, 74.2093793084, 74.2093826407] 

[120, 208.5167738971, 60.2030747358, 60.2030792192] 

[130, 209.8015423943, 63.6196935317, 63.6196967378] 

[140, 203.8514619715, 61.873721852, 61.8737238518] 

[150, 201.4264275046, 71.8088881549, 71.8088802146] 

[160, 195.2558880974, 68.5794893153, 68.5794889627] 

[170, 195.5341222426, 72.6273193359, 72.6273226956] 

[180, 190.3322179458, 76.5228056066, 76.5228059704] 

[190, 191.2835621553, 84.7699836282, 84.7699872899] 

[200, 187.3838177849, 65.6052461512, 65.6052408817] 

[210, 187.3128015855, 67.0902099609, 67.0902052321] 

[220, 186.9494341682, 64.9313174977, 64.9313250266] 

[230, 174.7525132123, 64.5752742992, 64.5752812171] 

[240, 180.4694106158, 74.4163315717, 74.4163309567] 

[250, 178.3136201746, 64.103953642, 64.1039463758] 

[260, 182.1545266544, 64.0147633272, 64.0147627164] 

[270, 176.5142319623, 58.2869119083, 58.2869054556] 

[280, 178.9655474494, 57.6333654067, 57.6333577586] 

[290, 171.9851074219, 66.9922593061, 66.9922472625] 

[300, 178.8607105928, 55.6038028493, 55.6038018135] 

[310, 171.5554773667, 57.2941750919, 57.2941750705] 

[320, 173.0301441866, 51.8281106388, 51.8281134371] 

