Data type: pos_diff_start, num_epochs: 400, 	 lr: 0.01 
0, 180.8223374311, 84.740198472, 84.740197627] 

[20, 162.369614545, 30.7606093463, 30.7606091963] 

[30, 170.4753130744, 169.6601275276, 169.6601334427] 

[40, 176.9581370634, 95.5062830308, 95.5062728371] 

[50, 163.9786448759, 37.2816198012, 37.2816190882] 

[60, 191.6658863741, 64.928847369, 64.928840899] 

[70, 170.7604980469, 105.5435001149, 105.5435023535] 

[80, 178.0040498621, 154.3229549632, 154.3229570334] 

[90, 186.5331025965, 52.5740859088, 52.5740783555] 

[100, 174.8401453355, 175.3857852711, 175.3857843182] 

[110, 182.9563706342, 39.9117180319, 39.9117280318] 

[120, 183.1607450597, 118.8140294692, 118.8140414278] 

[130, 185.6639332491, 82.4693316291, 82.469331477] 

[140, 178.3384794347, 112.5558148552, 112.5558202458] 

[150, 185.4589125689, 101.2085966222, 101.2085969968] 

[160, 165.9053021599, 126.2883013557, 126.2882851131] 

[170, 171.0639217601, 21.5661854463, 21.5661885639] 

[180, 166.6555893842, 79.7663646025, 79.7663516359] 

[190, 171.7461224724, 145.6508214614, 145.6508379406] 

[200, 189.2657542509, 141.9330480239, 141.9330417795] 

[210, 177.3990550322, 71.6928423713, 71.6928359502] 

[220, 170.6780646829, 63.2585592831, 63.2585494307] 

[230, 165.7616182215, 39.086849437, 39.0868547215] 

[240, 164.6762695312, 111.47679946, 111.4768085584] 

[250, 169.6932588465, 192.5253331801, 192.5253307875] 

[260, 184.2710248162, 109.7001163258, 109.7001077638] 

[270, 166.2905560662, 70.125603171, 70.1256047289] 

[280, 175.3531853171, 114.4597096163, 114.4596961716] 

[290, 167.4096966912, 69.8041417739, 69.8041506717] 

[300, 176.1934886259, 56.5880306468, 56.5880213809] 

[310, 184.3725585938, 52.2062306124, 52.2062270073] 

[320, 170.9687787224, 127.6095042509, 127.6095067577] 

[330, 174.1921099494, 38.8770141602, 38.8770160786] 

[340, 177.2915900735, 87.2707663143, 87.2707673677] 

[350, 164.9996553309, 158.8933967142, 158.8933947048] 

[360, 175.0622558594, 142.7472426471, 142.7472285732] 

[370, 174.5971392463, 44.6610753676, 44.6610711393] 

[380, 179.9732163373, 144.9636086857, 144.9636121805] 

[390, 182.2045467601, 141.1665326287, 141.1665329714] 

