Data type: pos_diff_start, num_epochs: 400, 	 lr: 0.05 
, 279.9901194853, 185.7682243796, 185.7682137546] 

[20, 328.4310948989, 84.9728429458, 84.9728343553] 

[30, 315.8425723805, 331.7385684743, 331.7385512226] 

[40, 275.1348805147, 201.8765079274, 201.8765049205] 

[50, 296.2561465993, 297.5235523897, 297.5235492149] 

[60, 309.321863511, 249.3387235754, 249.3387416617] 

[70, 306.6372357537, 143.8809455423, 143.88098634] 

[80, 308.6239947151, 183.8435920267, 183.8435798318] 

[90, 324.610926011, 298.7364717371, 298.7364850158] 

[100, 304.4526367188, 383.927935432, 383.9279350628] 

[110, 321.6194278493, 142.1818847656, 142.1818550906] 

[120, 309.2131778493, 288.0297564338, 288.0297463221] 

[130, 309.5768037684, 230.4661506204, 230.4661513063] 

[140, 315.0717198989, 286.0432272518, 286.0432008231] 

[150, 326.7383099724, 89.115270278, 89.1152578914] 

[160, 318.6137982537, 272.3235294118, 272.3235299568] 

[170, 335.7576688879, 153.7809340533, 153.7809188582] 

[180, 308.6123334099, 318.8972311581, 318.8972763141] 

[190, 317.095099954, 200.3662971048, 200.3662731476] 

[200, 297.3637982537, 442.7230296415, 442.7230502315] 

[210, 315.5687040441, 319.0412454044, 319.0412496782] 

[220, 334.4416360294, 272.5698816636, 272.5698990138] 

[230, 319.0852481618, 185.7973632812, 185.7973547363] 

[240, 316.4645852482, 186.8763786765, 186.876400473] 

[250, 324.1086282169, 222.8473403033, 222.8473247969] 

[260, 313.240033318, 337.3824965533, 337.3824771442] 

[270, 328.9233972886, 93.8588867188, 93.8589010755] 

[280, 295.6424345129, 161.2547392004, 161.254747326] 

[290, 294.4386776195, 187.577450023, 187.5774462786] 

[300, 337.0548023897, 287.2743278952, 287.2743602275] 

[310, 316.5137580423, 264.6401941636, 264.6401855683] 

[320, 306.8598345588, 408.8696001838, 408.8695616879] 

[330, 312.1772748162, 213.8536448759, 213.8536615712] 

[340, 316.2298943015, 88.1077234605, 88.1077252855] 

[350, 324.3781881893, 204.6294663373, 204.6294432111] 

[360, 336.905646829, 86.1913631664, 86.1913592344] 

[370, 338.6420323989, 145.3289579504, 145.3289444769] 

[380, 324.8056927849, 162.8878532858, 162.8878464004] 

[390, 357.1215533088, 331.7558306526, 331.7558992301] 

