Data type: pos_diff_start, num_epochs: 400, 	 lr: 0.0001 
0, 1345.353515625, 1157.6028262868, 1157.6027660873] 

[20, 677.2595358456, 262.7629250919, 262.7629251671] 

[30, 485.4258386949, 140.5002441406, 140.5002542813] 

[40, 390.8292738971, 199.2076056985, 199.2076041532] 

[50, 334.4157858456, 98.4759162454, 98.4759144412] 

[60, 305.0909639246, 102.9287181181, 102.9287411435] 

[70, 278.9549919577, 104.7169333065, 104.716944605] 

[80, 254.0849609375, 136.4374712776, 136.4374766919] 

[90, 240.1800178079, 84.734540154, 84.7345446289] 

[100, 227.5216423483, 78.230504653, 78.2305087777] 

[110, 213.5074678309, 65.525153665, 65.5251553238] 

[120, 203.5506089154, 70.4994111903, 70.4994131769] 

[130, 200.7993882123, 63.2368164062, 63.2368147872] 

[140, 196.7964298024, 67.7526927275, 67.7526859501] 

[150, 197.5351993336, 67.2571088006, 67.2571095299] 

[160, 193.9349006204, 62.1456227022, 62.1456259628] 

[170, 192.981143727, 64.3215547449, 64.3215491062] 

[180, 187.849207261, 61.9336368336, 61.9336363645] 

[190, 186.0743336397, 63.181877585, 63.181877628] 

[200, 187.1482508042, 62.4071332146, 62.4071276072] 

[210, 186.9177533318, 61.0273222082, 61.0273271602] 

[220, 187.8611557904, 55.8428703757, 55.8428642424] 

[230, 184.9138039982, 59.6701013902, 59.6701055072] 

[240, 179.5964355469, 64.6834357767, 64.683443115] 

[250, 184.0373391544, 54.8714563706, 54.8714479562] 

[260, 182.3187184053, 60.0531580308, 60.0531584581] 

[270, 174.1534495634, 53.8759083467, 53.8759125847] 

[280, 178.8985811121, 54.9599322151, 54.959927568] 

[290, 173.3269186581, 51.8487405216, 51.8487397713] 

[300, 171.7954245175, 49.8291482364, 49.8291478739] 

[310, 176.2263039982, 53.2616146312, 53.2616122055] 

[320, 175.9919002757, 50.5195743336, 50.5195702731] 

[330, 175.2395881204, 49.9621797449, 49.9621799279] 

[340, 169.3421415441, 47.5596636604, 47.5596599988] 

[350, 174.4147949219, 45.3777717142, 45.3777695512] 

[360, 166.0769617417, 48.506060432, 48.5060636495] 

[370, 170.8192497702, 45.1985258215, 45.1985215831] 

[380, 168.5145909926, 42.94933723, 42.9493377396] 

[390, 164.2708381204, 46.2614925609, 46.2614894193] 

