Data type: pos_diff_start, num_epochs: 1000, 	 lr: 0.001 
, 27.0454552692, 0] 

[20, 136.0394273695, 23.5322690217, 0] 

[30, 135.1702867445, 15.3592025093, 0] 

[40, 132.9178721669, 27.2257823115, 0] 

[50, 127.728279533, 34.3814617655, 0] 

[60, 127.63170716, 24.4780220363, 0] 

[70, 123.5912817651, 33.2905061141, 0] 

[80, 125.8015002576, 46.359571374, 0] 

[90, 122.1453897665, 25.0900215481, 0] 

[100, 125.7515024038, 32.2334992782, 0] 

[110, 128.5503090659, 50.5554252293, 0] 

[120, 130.9891075721, 30.0094232974, 0] 

[130, 125.6361499828, 16.070339037, 0] 

[140, 122.5933636676, 26.188463294, 0] 

[150, 129.610834478, 36.4441767154, 0] 

[160, 123.9127103365, 24.5603558084, 0] 

[170, 128.7709585337, 14.4075038744, 0] 

[180, 129.0660950378, 49.9977708899, 0] 

[190, 127.2981735062, 33.386371115, 0] 

[200, 132.1493174794, 18.5179217795, 0] 

[210, 124.5364225618, 27.9796779467, 0] 

[220, 128.1943681319, 31.660824983, 0] 

[230, 121.643565419, 29.2280538808, 0] 

[240, 128.3931254293, 23.7922628651, 0] 

[250, 123.4035885989, 14.3557951554, 0] 

[260, 129.9053485577, 38.1267328677, 0] 

[270, 136.5938465831, 38.9989730172, 0] 

[280, 125.0859911573, 32.7948449176, 0] 

[290, 121.3627339457, 10.4618397588, 0] 

[300, 132.7455679087, 33.6620164954, 0] 

[310, 132.1971046532, 5.7731946862, 0] 

[320, 132.3265045501, 55.8105309528, 0] 

[330, 125.359729138, 38.56724482, 0] 

[340, 127.8820183723, 27.2548085088, 0] 

[350, 134.4153932005, 32.6713787576, 0] 

[360, 127.5379142342, 12.5918605639, 0] 

[370, 126.5315504808, 31.7940594217, 0] 

[380, 131.5894037603, 48.9471860139, 0] 

[390, 134.6586216518, 11.7244076936, 0] 

[400, 127.0995020604, 24.2369013247, 0] 

[410, 127.1247531765, 24.5363291865, 0] 

[420, 128.6491028503, 25.0563752548, 0] 

[430, 121.396859976, 35.7946591585, 0] 

[440, 130.1532666552, 17.7304886528, 0] 

[450, 130.7145969265, 39.1439686651, 0] 

[460, 128.8325785543, 35.5596233865, 0] 

[470, 130.5116436298, 16.1029238494, 0] 

[480, 129.4493904533, 42.0774774966, 0] 

[490, 132.0954241071, 14.8521118164, 0] 

[500, 126.5770840488, 8.2042521601, 0] 

[510, 128.2011182177, 14.733643905, 0] 

[520, 133.387072888, 30.8109847359, 0] 

[530, 129.3003090659, 21.7054655656, 0] 

[540, 128.657591432, 12.2746980087, 0] 

[550, 135.5594522665, 41.5265821374, 0] 

[560, 128.5740470467, 38.3342922045, 0] 

[570, 123.0015238668, 26.8328937033, 0] 

[580, 123.3055138221, 5.3390967328, 0] 

[590, 118.456183465, 15.4094583263, 0] 

[600, 129.7096497253, 34.0170553456, 0] 

[610, 120.1289169815, 69.1463835343, 0] 

[620, 129.0180503091, 21.2773119056, 0] 

[630, 136.3704391312, 39.8775316321, 0] 

[640, 131.3482894059, 15.6543141241, 0] 

[650, 123.2438938015, 30.6516086744, 0] 

[660, 130.1193015968, 32.8638305664, 0] 

[670, 129.4777107658, 14.8072178053, 0] 

[680, 135.6089242788, 39.4447074558, 0] 

[690, 127.3799364698, 10.1537787396, 0] 

[700, 126.8583447802, 19.8741534689, 0] 

[710, 130.1306447459, 15.9467375382, 0] 

[720, 131.1214586195, 17.2651751974, 0] 

[730, 137.4427262191, 75.928403108, 0] 

[740, 124.7251244849, 43.5924841839, 0] 

[750, 128.7460722871, 26.8937510615, 0] 

[760, 132.5692822802, 53.2180494226, 0] 

[770, 136.2330121051, 23.9350824771, 0] 

[780, 132.2854567308, 10.6204455832, 0] 

[790, 136.998422476, 8.5682193922, 0] 

[800, 128.6508950034, 46.2682362432, 0] 

[810, 134.1204391312, 68.8154827615, 0] 

[820, 128.6413869334, 31.3682887865, 0] 

[830, 138.6403781765, 19.1013714334, 0] 

[840, 122.6018629808, 35.161217731, 0] 

[850, 127.4067543784, 22.6176439368, 0] 

[860, 133.8350575206, 34.1757732889, 0] 

[870, 127.4769702953, 13.9409272567, 0] 

[880, 133.0150884272, 32.1314325747, 0] 

[890, 132.6974051339, 8.090771219, 0] 

[900, 133.3866543613, 27.0223733653, 0] 

[910, 130.2036401099, 20.2014345915, 0] 

[920, 126.9203725962, 31.129076087, 0] 

[930, 130.4016569368, 45.742160963, 0] 

[940, 121.3846153846, 23.9483217986, 0] 

[950, 132.3422046703, 37.1712779169, 0] 

[960, 132.8052026099, 28.6062224015, 0] 

[970, 135.6580314217, 28.9219254203, 0] 

[980, 136.1578167926, 23.6580253269, 0] 

[990, 121.681876717, 27.0990547512, 0] 

