Data type: pos, num_epochs: 1000, 	 lr: 0.001 
9694775, 31.1080243511] 

[20, 26.0660207648, 30.7462414157] 

[30, 25.4190540391, 30.9162794544] 

[40, 25.0161528182, 30.3001925561] 

[50, 24.6105966915, 30.0709878245] 

[60, 24.5616815853, 29.2314157794] 

[70, 23.6816267871, 28.4793445218] 

[80, 23.165033132, 28.4713193832] 

[90, 23.2895448507, 28.0026402627] 

[100, 22.8104638474, 27.8007418725] 

[110, 22.4300710084, 27.3599656628] 

[120, 22.580078125, 26.8727830456] 

[130, 22.1526363234, 26.2995329826] 

[140, 21.7001300765, 26.0503579417] 

[150, 21.3634374209, 25.7994581653] 

[160, 21.0530309021, 25.9296579669] 

[170, 20.8195988582, 25.8623105941] 

[180, 20.5033902929, 25.6909711284] 

[190, 20.3448076132, 25.6271637947] 

[200, 20.0349644958, 25.6394850208] 

[210, 19.8096395022, 25.5881623299] 

[220, 19.6165213025, 25.7084094632] 

[230, 19.4714701417, 25.7944237494] 

[240, 19.1983430067, 25.7421796245] 

[250, 18.9402043269, 25.3281269689] 

[260, 18.6377051967, 25.4382757371] 

[270, 18.3050927537, 25.1666870117] 

[280, 18.0452816612, 24.9641428301] 

[290, 18.1094876803, 25.4305912141] 

[300, 18.5701879586, 24.1561495873] 

[310, 18.2870085558, 24.8543740549] 

[320, 17.9116408622, 24.6226865707] 

[330, 17.670309337, 24.5515983335] 

[340, 17.7528782895, 24.2086555727] 

[350, 17.4134813069, 23.8349766885] 

[360, 17.2190504808, 23.1833161385] 

[370, 17.0675824741, 23.1437496062] 

[380, 16.638284413, 23.1913058373] 

[390, 16.5752210115, 23.9499551096] 

[400, 16.5591798852, 22.4646350491] 

[410, 16.6689275209, 22.5417067005] 

[420, 16.627935618, 22.1681400422] 

[430, 16.3868788746, 22.104945029] 

[440, 16.2852946293, 22.044382403] 

[450, 16.1838467864, 22.1729440997] 

[460, 16.0636791893, 22.0571820659] 

[470, 15.8845679403, 21.6655805034] 

[480, 15.5784462377, 21.555815666] 

[490, 15.4196599428, 21.6503551852] 

[500, 15.2775938212, 21.6791204637] 

[510, 15.157136616, 21.6811267484] 

[520, 15.4087230358, 21.8931156282] 

[530, 15.2458970537, 21.8660849294] 

[540, 15.2032030855, 21.8691957535] 

[550, 15.0377478966, 21.8680813697] 

[560, 14.8639484359, 21.8773488691] 

[570, 14.8137958233, 22.0257095829] 

[580, 14.7198965714, 22.0795110887] 

[590, 14.556647544, 22.1722215222] 

[600, 14.4687885485, 22.1945072297] 

[610, 14.7872981639, 22.0574892106] 

[620, 14.6459110893, 22.2416972499] 

[630, 14.541998118, 22.2688618322] 

[640, 14.4442311646, 22.2728310862] 

[650, 14.375452698, 22.2716241652] 

[660, 14.2823392428, 22.287585843] 

[670, 14.3336908132, 22.3297512916] 

[680, 14.7774959672, 24.8404580393] 

[690, 15.4859604314, 23.1754583543] 

[700, 15.0249142048, 23.089320029] 

[710, 14.7285660346, 22.9214438162] 

[720, 14.4561357382, 22.9409671907] 

[730, 14.3194713515, 23.3350455992] 

[740, 14.439887043, 23.7051844443] 

[750, 14.2383879997, 23.5551147461] 

[760, 15.7932030064, 25.9759934948] 

[770, 15.0451877609, 26.1872755481] 

[780, 14.5686213072, 26.5606787897] 

[790, 14.3816797666, 27.0449041551] 

[800, 14.4014670183, 27.6189831149] 

[810, 14.1192068494, 27.7909033991] 

[820, 13.9082060903, 27.9773047663] 

[830, 13.4873205023, 27.6757595924] 

[840, 13.5553240448, 27.7604882025] 

[850, 13.2790072669, 27.8817335559] 

[860, 13.4893704928, 28.4021252048] 

[870, 13.6675496584, 28.4746645035] 

[880, 13.5357384315, 28.463081606] 

[890, 13.4408942466, 28.4322175057] 

[900, 13.7136813639, 28.0133115707] 

[910, 13.3432538114, 27.6805557743] 

[920, 13.2597695787, 27.9272874401] 

[930, 13.1704882417, 27.9472419985] 

[940, 13.2299033717, 27.6409498645] 

[950, 12.9108451812, 27.0800407164] 

[960, 12.8030793348, 27.0744865171] 

[970, 12.5682476831, 27.11429719] 

[980, 12.4819820265, 26.2016463741] 

[990, 12.4119650652, 26.2075766287] 

