Data type: pos, num_epochs: 500, 	 lr: 0.0001 
 

[10, 12239005.090909092, 11075597.333333334, 11075597.333333334] 

[20, 12389627.636363637, 10693708.666666666, 10693708.666666666] 

[30, 12435792.0, 10605528.666666666, 10605528.666666666] 

[40, 12547392.0, 11103479.333333334, 11103479.333333334] 

[50, 12473586.909090908, 10791712.0, 10791712.0] 

[60, 12627755.636363637, 10806159.333333334, 10806159.333333334] 

[70, 12448856.727272727, 10658296.0, 10658296.0] 

[80, 12495076.363636363, 10699718.0, 10699718.0] 

[90, 12360512.0, 10760378.0, 10760378.0] 

[100, 12368122.181818182, 11105392.0, 11105392.0] 

[110, 12296906.181818182, 10897853.333333334, 10897853.333333334] 

[120, 12490407.272727273, 10638823.333333334, 10638823.333333334] 

[130, 12309264.0, 10611818.0, 10611818.0] 

[140, 12419781.818181818, 10832868.666666666, 10832868.666666666] 

[150, 12294043.636363637, 10682273.333333334, 10682273.333333334] 

[160, 12486240.0, 10856333.333333334, 10856333.333333334] 

[170, 12500640.0, 10847332.0, 10847332.0] 

[180, 12595486.545454545, 10802324.0, 10802324.0] 

[190, 12399927.272727273, 10759049.333333334, 10759049.333333334] 

[200, 12482450.909090908, 10651953.333333334, 10651953.333333334] 

[210, 12420871.272727273, 10778555.333333334, 10778555.333333334] 

[220, 12532248.727272727, 10824490.0, 10824490.0] 

[230, 12588871.272727273, 10818634.666666666, 10818634.666666666] 

[240, 12494049.454545455, 10671922.666666666, 10671922.666666666] 

[250, 12374769.454545455, 10728676.0, 10728676.0] 

[260, 12320392.727272727, 10589254.0, 10589254.0] 

[270, 12414346.181818182, 10840530.0, 10840530.0] 

[280, 12419813.818181818, 10947433.333333334, 10947433.333333334] 

[290, 12439437.090909092, 10797466.666666666, 10797466.666666666] 

[300, 12428619.636363637, 10793524.666666666, 10793524.666666666] 

[310, 12269378.909090908, 10827083.333333334, 10827083.333333334] 

[320, 12449893.818181818, 10791525.333333334, 10791525.333333334] 

[330, 12426058.181818182, 10682608.666666666, 10682608.666666666] 

[340, 12412424.727272727, 10728626.666666666, 10728626.666666666] 

[350, 12553956.363636363, 11035148.0, 11035148.0] 

[360, 12572337.454545455, 11575160.0, 11575160.0] 

[370, 12611838.545454545, 10711043.333333334, 10711043.333333334] 

[380, 12556843.636363637, 11215677.333333334, 11215677.333333334] 

[390, 12452241.454545455, 10832435.333333334, 10832435.333333334] 

[400, 12461089.454545455, 10877025.333333334, 10877025.333333334] 

[410, 12225149.090909092, 10796636.666666666, 10796636.666666666] 

[420, 12540055.272727273, 11034394.0, 11034394.0] 

[430, 12278210.909090908, 10777954.666666666, 10777954.666666666] 

[440, 12525216.0, 10773902.0, 10773902.0] 

[450, 12339297.454545455, 10751043.333333334, 10751043.333333334] 

[460, 12417806.545454545, 11043368.666666666, 11043368.666666666] 

[470, 12788433.454545455, 10831048.0, 10831048.0] 

[480, 12473696.0, 10738456.0, 10738456.0] 

[490, 12352282.181818182, 10794074.0, 10794074.0] 

