Data type: pos, num_epochs: 1000, 	 lr: 0.0001 
.7142857143] 

[10, 18060.7282608696, 9522.65, 9522.65] 

[20, 15518.7192028986, 8917.4214285714, 8917.4214285714] 

[30, 15133.6739130435, 7169.6620535714, 7169.6620535714] 

[40, 15926.1811594203, 7104.484375, 7104.484375] 

[50, 15369.8876811594, 6078.5174107143, 6078.5174107143] 

[60, 15163.8804347826, 6861.1401785714, 6861.1401785714] 

[70, 14714.5190217391, 7054.1151785714, 7054.1151785714] 

[80, 14151.0434782609, 7498.3732142857, 7498.3732142857] 

[90, 14716.0344202899, 7016.2883928571, 7016.2883928571] 

[100, 14270.321557971, 8250.1339285714, 8250.1339285714] 

[110, 14498.3061594203, 7706.6294642857, 7706.6294642857] 

[120, 14491.6612318841, 7712.8455357143, 7712.8455357143] 

[130, 14597.6286231884, 7487.959375, 7487.959375] 

[140, 14212.7173913043, 7168.7973214286, 7168.7973214286] 

[150, 14121.2445652174, 7826.9955357143, 7826.9955357143] 

[160, 13467.5951086957, 7003.240625, 7003.240625] 

[170, 14050.0634057971, 7727.7973214286, 7727.7973214286] 

[180, 13579.2617753623, 7091.9598214286, 7091.9598214286] 

[190, 14402.8958333333, 7592.35, 7592.35] 

[200, 14363.5480072464, 7457.578125, 7457.578125] 

[210, 14726.6666666667, 7957.8446428571, 7957.8446428571] 

[220, 13549.0217391304, 7553.3883928571, 7553.3883928571] 

[230, 14311.893115942, 8070.5151785714, 8070.5151785714] 

[240, 13592.384057971, 7922.54375, 7922.54375] 

[250, 14274.8324275362, 7946.2848214286, 7946.2848214286] 

[260, 13504.0923913043, 7811.8330357143, 7811.8330357143] 

[270, 14440.9492753623, 7945.6285714286, 7945.6285714286] 

[280, 13398.4583333333, 8578.7232142857, 8578.7232142857] 

[290, 13376.9157608696, 7894.7580357143, 7894.7580357143] 

[300, 13849.1349637681, 8170.8919642857, 8170.8919642857] 

[310, 13998.2101449275, 7860.0839285714, 7860.0839285714] 

[320, 14219.6648550725, 7833.925, 7833.925] 

[330, 14018.0153985507, 8016.3928571429, 8016.3928571429] 

[340, 14425.7382246377, 8146.875, 8146.875] 

[350, 13605.8505434783, 8433.725, 8433.725] 

[360, 13470.3976449275, 8509.9169642857, 8509.9169642857] 

[370, 13468.5371376812, 7998.8375, 7998.8375] 

[380, 13260.1585144928, 8289.6946428571, 8289.6946428571] 

[390, 13281.0380434783, 8218.8830357143, 8218.8830357143] 

[400, 13817.6938405797, 7937.0125, 7937.0125] 

[410, 14172.8967391304, 8154.2294642857, 8154.2294642857] 

[420, 13924.5525362319, 8178.6553571429, 8178.6553571429] 

[430, 13623.196557971, 8799.2446428571, 8799.2446428571] 

[440, 13605.7300724638, 8298.9196428571, 8298.9196428571] 

[450, 13279.4112318841, 8475.9830357143, 8475.9830357143] 

[460, 13389.0280797101, 8405.6767857143, 8405.6767857143] 

[470, 12811.1748188406, 8923.7276785714, 8923.7276785714] 

[480, 13566.0045289855, 8030.8428571429, 8030.8428571429] 

[490, 13197.3786231884, 8487.4607142857, 8487.4607142857] 

[500, 12949.3768115942, 8498.0410714286, 8498.0410714286] 

[510, 13641.9945652174, 8730.3383928571, 8730.3383928571] 

[520, 13325.5778985507, 8374.0866071429, 8374.0866071429] 

[530, 13836.0163043478, 8458.0714285714, 8458.0714285714] 

[540, 12644.4701086957, 8374.1732142857, 8374.1732142857] 

[550, 13408.9864130435, 9061.39375, 9061.39375] 

[560, 13070.981884058, 8136.66875, 8136.66875] 

[570, 13390.0054347826, 8410.3071428571, 8410.3071428571] 

[580, 13054.8188405797, 8101.6919642857, 8101.6919642857] 

[590, 13751.2255434783, 8633.8875, 8633.8875] 

[600, 13443.535326087, 8364.2571428571, 8364.2571428571] 

[610, 13999.8025362319, 8592.7196428571, 8592.7196428571] 

[620, 13220.2291666667, 8614.1955357143, 8614.1955357143] 

[630, 13256.4610507246, 8477.43125, 8477.43125] 

[640, 13919.839673913, 8485.5767857143, 8485.5767857143] 

[650, 12824.7481884058, 8628.9142857143, 8628.9142857143] 

[660, 13541.5099637681, 9462.1508928571, 9462.1508928571] 

[670, 13656.4076086957, 8745.2794642857, 8745.2794642857] 

[680, 13535.2699275362, 8535.3830357143, 8535.3830357143] 

[690, 13212.2527173913, 8707.7732142857, 8707.7732142857] 

[700, 13436.571557971, 8740.2598214286, 8740.2598214286] 

[710, 13419.8297101449, 9071.7276785714, 9071.7276785714] 

[720, 13587.7835144928, 8913.40625, 8913.40625] 

[730, 13401.2074275362, 8689.9964285714, 8689.9964285714] 

[740, 13534.5615942029, 9404.7803571429, 9404.7803571429] 

[750, 14018.6096014493, 8707.3223214286, 8707.3223214286] 

[760, 13327.8885869565, 8600.5598214286, 8600.5598214286] 

[770, 13665.7925724638, 9133.1428571429, 9133.1428571429] 

[780, 13203.821557971, 8718.7866071429, 8718.7866071429] 

[790, 12790.6847826087, 8940.0678571429, 8940.0678571429] 

[800, 13397.4338768116, 9001.5857142857, 9001.5857142857] 

[810, 12724.8451086957, 9045.9696428571, 9045.9696428571] 

[820, 13557.0416666667, 9613.6375, 9613.6375] 

[830, 13281.3442028986, 8829.9178571429, 8829.9178571429] 

[840, 13309.6875, 9099.3133928571, 9099.3133928571] 

[850, 13756.544384058, 9156.2535714286, 9156.2535714286] 

[860, 13800.9655797101, 8977.5991071429, 8977.5991071429] 

