Data type: pos, num_epochs: 1000, 	 lr: 0.01 
059084, 25.4756213773] 

[20, 9.5628963579, 25.6349054152] 

[30, 9.561167605, 25.3934877457] 

[40, 9.5422985988, 25.3998216198] 

[50, 9.5101115733, 25.7152198053] 

[60, 9.5102539062, 25.5001890121] 

[70, 9.5218036358, 25.7587083386] 

[80, 9.4823210558, 25.7623645413] 

[90, 9.4742060982, 25.9440228862] 

[100, 9.4738838721, 25.5766266854] 

[110, 9.4598502341, 25.6329188193] 

[120, 9.4566240195, 25.5846656061] 

[130, 9.4458363645, 25.7065291866] 

[140, 9.4338220758, 26.1265888829] 

[150, 9.4214440473, 25.6840761246] 

[160, 10.5920548536, 28.9613804971] 

[170, 10.3495777454, 29.1007336032] 

[180, 10.2132425038, 29.1291188886] 

[190, 10.1877342564, 29.0379914315] 

[200, 10.1521015862, 29.0105216734] 

[210, 10.1181591204, 28.7589642925] 

[220, 10.1101390514, 28.8252602854] 

[230, 10.0729802553, 28.9034561649] 

[240, 10.0965037481, 28.9632548671] 

[250, 10.0571714085, 29.2140483241] 

[260, 10.0401804071, 29.0696804908] 

[270, 10.030939635, 28.6511643933] 

[280, 10.0203555953, 29.0086630544] 

[290, 10.0118166039, 28.5920016381] 

[300, 10.0058564097, 28.6092588363] 

[310, 10.076237111, 28.7471549742] 

[320, 10.0307281123, 28.1732630576] 

[330, 9.9736249051, 29.3192571825] 

[340, 9.9766682613, 28.6995475523] 

[350, 9.973510248, 28.7221305601] 

[360, 9.9552194696, 29.0888967206] 

[370, 9.9429788319, 29.565246582] 

[380, 9.9361270796, 29.5731240549] 

[390, 9.9197558198, 29.5157549458] 

[400, 9.9249321941, 29.9232197423] 

[410, 9.9410543712, 29.9213276525] 

[420, 9.919035259, 30.3248783235] 

[430, 9.9013177663, 30.0474951959] 

[440, 9.8986796638, 30.0906253938] 

[450, 9.8931128622, 29.8670851184] 

[460, 9.8955503147, 30.2410809917] 

[470, 9.8964685602, 30.1166007749] 

[480, 9.8840124462, 30.3743876796] 

[490, 9.8905054007, 30.196011451] 

[500, 9.888620477, 30.2276453818] 

[510, 9.8698513016, 30.2143495621] 

[520, 9.8671776158, 30.1454152753] 

[530, 9.8677380519, 29.9169390278] 

[540, 9.8767860814, 30.221703314] 

[550, 9.8693659856, 30.9159565587] 

[560, 9.8460431427, 30.324488486] 

[570, 9.8505058752, 30.5977960402] 

[580, 9.8423049247, 30.4201266381] 

[590, 9.8532952065, 30.72298899] 

[600, 9.8394780333, 30.7380193895] 

[610, 9.8394118089, 30.3817099294] 

[620, 9.8401758603, 30.5563295426] 

[630, 9.8343570107, 30.2333236202] 

[640, 9.8350666988, 30.1042697045] 

[650, 9.8470513348, 30.42765562] 

[660, 9.8425006326, 30.2302502048] 

[670, 9.8434060286, 30.3132087954] 

[680, 9.8015561741, 29.8213914441] 

[690, 9.7711107509, 30.3679376418] 

[700, 9.7501957079, 30.1934617566] 

[710, 9.7301613503, 30.3575636341] 

[720, 9.6129155333, 30.384289157] 

[730, 9.7244205861, 30.5145243983] 

[740, 9.554260501, 30.5060109785] 

[750, 9.5232813291, 30.0347723192] 

[760, 9.5720224728, 29.4478169103] 

[770, 9.5455811535, 30.0102952526] 

[780, 9.5188057471, 29.6735327936] 

[790, 9.5120864436, 29.8510761876] 

[800, 9.5167646524, 29.5464910692] 

[810, 9.5044123229, 29.6769015404] 

[820, 9.4934230295, 29.468289283] 

[830, 9.4982860735, 29.515609249] 

[840, 9.4893853191, 29.5522303427] 

[850, 9.499488985, 29.2652489447] 

[860, 9.4943511592, 29.2030560893] 

[870, 9.4998378985, 29.4666177073] 

[880, 9.4959652549, 29.4426308909] 

[890, 9.4808512699, 29.3928990518] 

[900, 9.5006632322, 29.5924367597] 

[910, 9.4866167447, 29.5494266633] 

[920, 9.4826561314, 29.7034085181] 

[930, 9.5332209166, 29.6018499559] 

[940, 9.4976228413, 29.5052214592] 

[950, 9.4813593196, 29.6657734533] 

[960, 9.947440576, 30.0748665102] 

[970, 9.9263268598, 30.2348416236] 

[980, 9.9235227021, 30.1190343057] 

[990, 9.9079520654, 30.2105260049] 

