Data type: pos, num_epochs: 1000, 	 lr: 0.005 
04346, 24.3648799773] 

[20, 11.1709873956, 24.3965887254] 

[30, 10.6154854346, 23.7866388136] 

[40, 10.4591721755, 23.7260604366] 

[50, 11.9138974333, 22.6357264365] 

[60, 11.288047389, 23.309721916] 

[70, 11.0394460084, 23.1679569367] 

[80, 12.0191507069, 22.3061543126] 

[90, 12.1142499051, 23.6484571888] 

[100, 11.7345114025, 22.8477212229] 

[110, 11.3869184116, 22.8762029832] 

[120, 11.7719014898, 24.2231543756] 

[130, 11.785842216, 24.2685881584] 

[140, 11.647382852, 24.1111824282] 

[150, 12.0994205861, 23.5816866967] 

[160, 11.9690376313, 23.4714197959] 

[170, 12.1120615353, 23.8569099672] 

[180, 12.2679023279, 24.038015058] 

[190, 12.2260633461, 24.4224105343] 

[200, 12.1788038493, 23.9816658266] 

[210, 12.1598873988, 24.1557951896] 

[220, 12.1764207601, 24.2711260396] 

[230, 13.0451571198, 25.6287054246] 

[240, 12.5711150999, 25.933863486] 

[250, 13.6957424643, 25.0987332252] 

[260, 13.6598162323, 25.6349506993] 

[270, 13.7428803849, 25.3377587103] 

[280, 13.6157444016, 26.282059208] 

[290, 13.4302301445, 26.1643775202] 

[300, 13.29791581, 26.0727558751] 

[310, 13.233838286, 26.3078810169] 

[320, 13.1736581161, 26.6339505103] 

[330, 13.1414009125, 26.3418401903] 

[340, 13.0782218655, 26.4655860163] 

[350, 12.9969467596, 26.4375492219] 

[360, 12.9833806459, 26.3613399383] 

[370, 12.9448716631, 26.5184956212] 

[380, 14.2344244212, 26.4237454322] 

[390, 14.4568394958, 26.7882985761] 

[400, 14.3784950658, 27.2860894972] 

[410, 14.300270235, 27.4485020791] 

[420, 14.2313148406, 27.1022358556] 

[430, 14.6780397979, 28.3987584268] 

[440, 14.5943855564, 28.6297174269] 

[450, 14.7378493089, 28.9880764869] 

[460, 14.6592478887, 29.6593805129] 

[470, 14.6165588626, 29.743664157] 

[480, 14.5817258271, 29.706395303] 

[490, 14.567913596, 29.736804593] 

[500, 14.5404186172, 29.6929439422] 

[510, 14.5424725614, 29.8713024509] 

[520, 14.5278379618, 29.7897988596] 

[530, 14.5275058515, 29.890355264] 

[540, 14.4967065726, 29.9529379568] 

[550, 14.4949600282, 29.8270303049] 

[560, 14.4910122644, 30.0230417559] 

[570, 14.4942365021, 29.8743817729] 

[580, 14.4802898453, 29.8858248803] 

[590, 14.478793372, 29.9208059003] 

[600, 14.4648556111, 29.9836504536] 

[610, 14.4665537228, 29.8316689768] 

[620, 14.4431488408, 29.9479921402] 

[630, 14.4393127689, 29.7284703409] 

[640, 16.6418783211, 30.0884891633] 

[650, 17.8244599254, 29.6847199471] 

[660, 16.9996797508, 29.5827124811] 

[670, 16.9669629302, 29.6448817099] 

[680, 16.9526960242, 29.6999117944] 

[690, 16.1797003495, 29.1243207378] 

[700, 17.352351262, 29.2012210969] 

[710, 17.319834103, 29.3601881458] 

[720, 19.1421728713, 28.8777209866] 

[730, 18.8248968086, 30.1181443737] 

[740, 18.2947459356, 29.3489813036] 

[750, 18.1638628384, 29.3492155998] 

[760, 17.9454429719, 28.8533305507] 

[770, 17.7887462045, 29.0370739352] 

[780, 17.849247612, 30.0358473255] 

[790, 17.5547329675, 30.4042063067] 

[800, 17.5086803359, 30.4558459866] 

[810, 17.4854899418, 30.4239147555] 

[820, 17.4941169028, 30.4848731256] 

[830, 17.4387987886, 30.3496330015] 

[840, 17.4231045989, 30.3523500504] 

[850, 17.4356773469, 30.0077317761] 

[860, 17.4164149481, 30.4768696447] 

[870, 17.4132302473, 30.2167378087] 

[880, 17.3903561488, 30.3190917969] 

[890, 17.405745904, 30.1100463867] 

[900, 17.3845046812, 30.2369227256] 

[910, 17.3684250063, 30.3381209835] 

[920, 17.371287481, 29.9365273753] 

[930, 17.3592761576, 29.9438752205] 

[940, 17.3534919028, 30.284870763] 

[950, 17.37131318, 30.3855256111] 

[960, 17.3526517428, 29.861597861] 

[970, 17.3513588847, 30.1706346081] 

[980, 17.7057561836, 28.7505906628] 

[990, 17.3883199962, 29.5451679845] 

