Data type: pos, num_epochs: 1000, 	 lr: 0.0005 
007212, 66.3582488029] 

[20, 66.3383808831, 65.5020830708] 

[30, 65.4596999937, 64.6640900643] 

[40, 64.6120042067, 63.883304719] 

[50, 63.7922531313, 63.1515168221] 

[60, 63.0342706225, 62.3255063949] 

[70, 62.2786880061, 61.6093080582] 

[80, 61.4942236526, 60.8497432586] 

[90, 60.7587811551, 60.0134513609] 

[100, 60.0079825089, 59.3673489478] 

[110, 59.2745880251, 58.5438193044] 

[120, 58.5235877404, 57.9630284463] 

[130, 57.7907032831, 57.1839717742] 

[140, 57.0470884995, 56.4935066469] 

[150, 56.3662939651, 55.7878221081] 

[160, 55.7241586538, 55.1113399383] 

[170, 55.080738392, 54.5330022996] 

[180, 54.5757211538, 54.0125023627] 

[190, 53.9867472166, 53.4752236643] 

[200, 53.4493650367, 52.8818831905] 

[210, 52.9327674279, 52.3403635333] 

[220, 52.4918870192, 51.7779462261] 

[230, 52.0393708882, 51.2877354776] 

[240, 51.6334648596, 50.7681569745] 

[250, 51.2246805415, 50.2185491746] 

[260, 50.9119235514, 49.8375007876] 

[270, 50.5814698254, 49.374047064] 

[280, 50.1081177252, 48.7645027407] 

[290, 49.7681830402, 48.4142436366] 

[300, 49.303161374, 47.9336370653] 

[310, 48.9611470458, 47.5422402659] 

[320, 48.6211095648, 47.0779793032] 

[330, 48.3284136197, 46.7548946258] 

[340, 47.9194395243, 46.3353625882] 

[350, 47.5060768282, 46.0091788999] 

[360, 47.1225645243, 45.672780683] 

[370, 46.6947194459, 45.3813122165] 

[380, 46.2930438702, 45.039633474] 

[390, 45.9963467864, 44.5716473979] 

[400, 45.4592334577, 44.2954574093] 

[410, 45.0555454517, 44.0137545678] 

[420, 44.5703955276, 43.7545992944] 

[430, 44.1218528593, 43.5374440839] 

[440, 43.7533171495, 43.1884805003] 

[450, 43.3850226151, 42.9336921938] 

[460, 42.9566675101, 42.4257773122] 

[470, 42.5780775557, 42.1120487336] 

[480, 42.2380163525, 41.9125110257] 

[490, 41.8426745951, 41.4432491179] 

[500, 41.4253502973, 41.1305325416] 

[510, 41.0565457363, 40.8592174899] 

[520, 40.7115503226, 40.5464536605] 

[530, 40.3222972546, 40.1903154927] 

[540, 40.042632686, 39.8086803805] 

[550, 39.6850566169, 39.5899618826] 

[560, 39.5583328062, 40.0812870149] 

[570, 39.1671819648, 39.6443422379] 

[580, 38.7878566232, 39.2391790575] 

[590, 38.7129222546, 39.0798379221] 

[600, 38.1328480832, 38.5515451739] 

[610, 37.7213910678, 38.2432900706] 

[620, 37.3345971976, 37.8873527281] 

[630, 37.1779715967, 37.8176663306] 

[640, 36.8143938196, 37.6578605406] 

[650, 36.431640625, 37.3390561996] 

[660, 36.0786468877, 37.0064933531] 

[670, 35.6903229378, 36.7090946321] 

[680, 35.3047191296, 36.4203629032] 

[690, 34.9365115764, 36.2623330393] 

[700, 34.5210494686, 35.7179545741] 

[710, 34.6335834704, 36.0658116494] 

[720, 34.0381768725, 35.9166377898] 

[730, 33.8608457743, 35.9732626638] 

[740, 33.7129459767, 35.6202392578] 

[750, 33.2331019104, 35.2992691532] 

[760, 32.8741499557, 34.9722782258] 

[770, 32.483404368, 34.6361123362] 

[780, 32.5507713658, 34.867092994] 

[790, 32.1585688417, 34.7065272177] 

[800, 31.9159148058, 34.3058255103] 

[810, 31.4627522457, 34.0585543725] 

[820, 31.130651806, 33.6732650265] 

[830, 30.7654905744, 33.6718159337] 

[840, 30.4213610197, 33.5151839718] 

[850, 30.1547060824, 33.2973317792] 

[860, 29.7921602195, 33.0072868101] 

[870, 29.4993001961, 32.7234969601] 

[880, 29.42662141, 32.151772776] 

[890, 29.1583296432, 32.138512396] 

[900, 28.7031704675, 32.268308578] 

[910, 28.5340966599, 32.3177037393] 

[920, 28.1783689429, 32.4098097278] 

[930, 28.3040647931, 31.1236572266] 

[940, 28.0570439018, 32.0891192036] 

[950, 27.7380558894, 32.0579125189] 

[960, 27.4681114784, 31.9891219601] 

[970, 27.1108022837, 31.5328310074] 

[980, 26.8783131959, 31.5136443107] 

[990, 26.5745864436, 31.2737525202] 

