Data type: log_quat, num_epochs: 1000, 	 lr: 0.001 
9.3140593498] 

[20, 3.8698060812, 9.8833618164] 

[30, 3.8065104002, 9.7089243243] 

[40, 3.5948782855, 9.9798298497] 

[50, 3.4795771919, 10.0014382639] 

[60, 3.3814163517, 9.9125956874] 

[70, 3.3332685092, 10.2002425655] 

[80, 3.3209114847, 10.2631225586] 

[90, 3.1499179114, 9.5544600948] 

[100, 3.6869954098, 8.7250878119] 

[110, 3.3982143634, 9.199012018] 

[120, 3.2064446206, 9.5755723523] 

[130, 3.2350006721, 9.0757643177] 

[140, 3.1129721205, 9.0320473948] 

[150, 3.0182121987, 9.5120534589] 

[160, 2.9943034678, 10.3037916614] 

[170, 2.9318400395, 10.0716001449] 

[180, 2.8690427711, 9.8515979398] 

[190, 2.8074311168, 10.1101635348] 

[200, 2.7638137138, 10.2250011813] 

[210, 3.1323993389, 9.977594191] 

[220, 2.8467634564, 9.4554118495] 

[230, 2.7997510655, 10.1747928742] 

[240, 2.7642530681, 9.2688382056] 

[250, 2.7102068079, 9.6204548497] 

[260, 3.18173156, 9.0323338662] 

[270, 3.0630962665, 9.9281192903] 

[280, 2.8046022485, 10.2009306877] 

[290, 2.6904373478, 9.6917724609] 

[300, 2.6371536564, 8.8182953865] 

[310, 2.4995774489, 9.4196915165] 

[320, 3.605272795, 9.3974668441] 

[330, 3.7526497165, 9.5855102539] 

[340, 3.1459955995, 9.5975509151] 

[350, 2.832038169, 9.9908781975] 

[360, 2.6911015684, 9.5283793788] 

[370, 2.5863439892, 9.7500679262] 

[380, 2.509604512, 9.6779470136] 

[390, 2.4355038786, 9.8708407494] 

[400, 2.3707754776, 9.8475479618] 

[410, 2.309289106, 9.8732408093] 

[420, 2.253574881, 10.0912593718] 

[430, 2.2142203018, 10.1355216734] 

[440, 2.5722619184, 9.7684503371] 

[450, 2.3364247928, 10.1157856603] 

[460, 2.2798135734, 10.0194003197] 

[470, 2.2271688979, 9.9946308751] 

[480, 2.1794322396, 10.016315091] 

[490, 2.5323207098, 9.7375212639] 

[500, 2.3951719956, 9.8782122212] 

[510, 2.3253959625, 9.9447031329] 

[520, 2.279504444, 9.6456141318] 

[530, 2.2666588911, 9.545310728] 

[540, 2.2312755507, 9.7215595861] 

[550, 2.2141469114, 9.7334082819] 

[560, 2.186827872, 9.9545288086] 

[570, 2.1735839844, 9.8909774288] 

[580, 2.1628202987, 9.9466828377] 

[590, 2.1539192972, 10.23318383] 

[600, 2.1296737609, 10.5133401194] 

[610, 2.1256498885, 10.9857394311] 

[620, 2.1111645409, 9.833548269] 

[630, 2.0976987522, 9.7776046261] 

[640, 2.0884537793, 9.8786965647] 

[650, 2.0724866612, 9.8191085323] 

[660, 2.0638547581, 9.8977661133] 

[670, 2.0551503293, 9.84698191] 

[680, 2.0379737514, 9.8532764066] 

[690, 2.0335509265, 9.9722920079] 

[700, 2.0217736125, 9.9790255639] 

[710, 2.0046761084, 9.892872472] 

[720, 2.0017915177, 10.0421871062] 

[730, 1.9844824911, 9.8107073384] 

[740, 1.9698330651, 9.8374643633] 

[750, 1.9648231167, 9.8381810342] 

[760, 1.9474576263, 9.7205495527] 

[770, 1.9471152611, 9.6627276021] 

[780, 1.9207265753, 9.8579308294] 

[790, 1.9103224287, 9.6676163212] 

[800, 1.907904374, 9.8540147351] 

[810, 1.8947558693, 10.0592779344] 

[820, 1.8779679889, 10.1144300892] 

[830, 1.8489378647, 9.9561600224] 

[840, 1.8484487186, 10.0756589828] 

[850, 1.8293695488, 10.0449838946] 

[860, 1.8124809728, 10.1601030903] 

[870, 1.8010738234, 10.115933326] 

[880, 1.7886410609, 9.9847786196] 

[890, 1.7832513106, 9.9606943438] 

[900, 1.7901302446, 10.0818668489] 

[910, 1.7679685523, 9.9670292024] 

[920, 1.7542985306, 10.0368012459] 

[930, 1.7524604334, 9.9844704905] 

[940, 1.7414134408, 10.0335890247] 

[950, 1.7748524284, 9.9498537125] 

[960, 1.7361161081, 9.861224759] 

[970, 1.7288504535, 9.9423326062] 

[980, 1.6966093117, 10.0782234438] 

[990, 1.6929795732, 10.1045325495] 

