Data type: log_quat, num_epochs: 1000, 	 lr: 0.001 
637652, 1087.1939264113] 

[20, 809.2826417004, 1092.9571572581] 

[30, 809.2026189271, 1089.2939768145] 

[40, 808.8772140688, 1083.263734879] 

[50, 809.2457616397, 1080.9870211694] 

[60, 809.148722166, 1082.2486139113] 

[70, 809.3168648785, 1079.328125] 

[80, 809.0669281377, 1079.1345766129] 

[90, 809.4512272267, 1079.1517137097] 

[100, 809.4573633603, 1081.6009324597] 

[110, 809.476847166, 1082.0994203629] 

[120, 808.6250632591, 1080.4620715726] 

[130, 809.0960273279, 1078.4664818548] 

[140, 809.2657515182, 1082.2845262097] 

[150, 809.0218243927, 1081.6396169355] 

[160, 809.5158780364, 1081.4192288306] 

[170, 808.6506831984, 1085.2247983871] 

[180, 809.1691548583, 1083.0696824597] 

[190, 809.3619686235, 1085.5003780242] 

[200, 809.4257338057, 1082.3833165323] 

[210, 809.0475708502, 1082.7036290323] 

[220, 808.6773785425, 1088.1452872984] 

[230, 808.6673203441, 1087.5170110887] 

[240, 809.0365637652, 1087.5994203629] 

[250, 809.0604757085, 1086.1302923387] 

[260, 809.6652327935, 1088.7138356855] 

[270, 808.6756072874, 1087.4479586694] 

[280, 808.6974949393, 1088.9877772177] 

[290, 809.4271887652, 1087.8252268145] 

[300, 808.7043901822, 1089.6595262097] 

[310, 809.1327176113, 1086.9914314516] 

[320, 808.9438259109, 1089.9438004032] 

[330, 809.4910804656, 1088.3080897177] 

[340, 604.2908021255, 929.556640625] 

[350, 809.0514296559, 1095.50390625] 

[360, 810.1282894737, 1097.2119455645] 

[370, 809.9566675101, 1099.8563508065] 

[380, 808.684590081, 1098.6376008065] 

[390, 809.4406629555, 1102.2269405242] 

[400, 808.9263031377, 1097.8784022177] 

[410, 809.3228744939, 1102.7308467742] 

[420, 809.2179908907, 1104.8335433468] 

[430, 809.195597166, 1099.8029233871] 

[440, 808.2804908907, 1104.0223034274] 

[450, 809.3255313765, 1101.84375] 

[460, 808.9436993927, 1102.9065020161] 

[470, 808.5852100202, 1060.7263104839] 

[480, 808.7836538462, 1065.3802923387] 

[490, 808.6491649798, 1065.5291078629] 

[500, 809.6230389676, 1061.3203125] 

[510, 809.418965081, 1063.8387096774] 

[520, 810.0017712551, 1063.1048387097] 

[530, 809.3438765182, 1066.4017137097] 

[540, 745.5524418016, 917.7003528226] 

[550, 740.1756072874, 892.0751638105] 

[560, 739.493041498, 880.1355216734] 

[570, 738.3448254049, 878.8790952621] 

[580, 739.080465587, 867.8481602823] 

[590, 738.6317054656, 872.5345892137] 

[600, 738.1717484818, 885.7665070565] 

[610, 738.1158906883, 886.5084425403] 

[620, 738.7539220648, 883.2146547379] 

[630, 738.3108552632, 897.5459929435] 

[640, 737.7456351215, 887.037046371] 

[650, 737.8581098178, 884.6973916331] 

[660, 738.7322241903, 890.0705015121] 

[670, 738.3902454453, 888.8162172379] 

[680, 738.4474316802, 889.7247353831] 

[690, 738.4841219636, 887.4039188508] 

[700, 738.3639296559, 888.6119581653] 

[710, 737.7456351215, 880.900390625] 

[720, 738.6251897773, 885.3703377016] 

[730, 737.6890814777, 884.2960559476] 

[740, 738.1000759109, 882.4895413306] 

[750, 737.8842990891, 890.9136214718] 

[760, 737.9534412955, 880.5929939516] 

[770, 738.3912575911, 883.5724546371] 

[780, 737.2532262146, 891.6429561492] 

[790, 737.5942560729, 881.0407006048] 

[800, 738.309590081, 887.1672127016] 

[810, 737.998292004, 883.6393649194] 

[820, 738.4516700405, 881.6120841734] 

[830, 738.0194838057, 881.8217615927] 

[840, 737.6997722672, 880.6126512097] 

[850, 737.2138790486, 887.9177797379] 

[860, 738.281819332, 885.5543094758] 

[870, 737.5049974696, 885.6214087702] 

[880, 737.8780364372, 885.6263230847] 

[890, 738.3452049595, 884.8197454637] 

[900, 738.0836285425, 881.1658266129] 

[910, 738.3351467611, 886.2216481855] 

[920, 737.8979630567, 885.3595640121] 

[930, 738.1285425101, 882.587827621] 

[940, 737.5823001012, 888.7443296371] 

[950, 737.512145749, 887.3591859879] 

[960, 737.5012651822, 886.681703629] 

[970, 737.3455212551, 888.8739919355] 

[980, 737.6960399798, 887.8806703629] 

[990, 738.3586791498, 889.2048261089] 

