Data type: log_quat, num_epochs: 1000, 	 lr: 0.0001 
211538, 1188.3797883065] 

[20, 604.9685602227, 819.648374496] 

[30, 457.668680415, 578.6537298387] 

[40, 324.633097166, 453.4965032762] 

[50, 362.2281123482, 462.4339717742] 

[60, 340.7820723684, 574.8290070565] 

[70, 317.381673836, 456.1685987903] 

[80, 313.4203884109, 465.0076864919] 

[90, 384.2459197874, 560.6297883065] 

[100, 309.4363297065, 430.6124621976] 

[110, 274.5720521255, 602.2706653226] 

[120, 289.2232730263, 501.6200226815] 

[130, 266.3582995951, 515.0922694052] 

[140, 257.4605263158, 538.6441532258] 

[150, 252.7414442055, 480.5335811492] 

[160, 249.301065916, 494.023374496] 

[170, 254.2571482794, 429.0736832157] 

[180, 263.8072178644, 431.990202873] 

[190, 255.5704706478, 459.507749496] 

[200, 250.5110545294, 485.6062878024] 

[210, 403.4502467105, 555.6333795363] 

[220, 391.7015751518, 558.0071824597] 

[230, 385.6152264676, 553.9426033266] 

[240, 394.1162386134, 572.6868069556] 

[250, 391.9133982794, 546.4340347782] 

[260, 389.2508223684, 516.9872101815] 

[270, 387.6411310729, 528.5489541331] 

[280, 385.0940030364, 541.3874117944] 

[290, 384.7055921053, 519.3109879032] 

[300, 383.6634299089, 556.3989415323] 

[310, 382.347513917, 524.9398626512] 

[320, 381.6355959008, 528.9841859879] 

[330, 380.7707489879, 548.5815272177] 

[340, 380.6769040992, 560.8278099798] 

[350, 379.8930604757, 568.5068044355] 

[360, 378.9967105263, 562.209047379] 

[370, 380.5310602227, 551.7179939516] 

[380, 277.3287259615, 465.4967552923] 

[390, 269.9721659919, 460.6878150202] 

[400, 346.6100075911, 530.5684853831] 

[410, 387.2622090081, 516.2572454637] 

[420, 383.3127530364, 520.3225176411] 

[430, 381.381673836, 534.7739415323] 

[440, 381.1743104757, 555.6384828629] 

[450, 381.2681553644, 549.0032132056] 

[460, 379.965840081, 553.5163810484] 

[470, 380.1376834514, 517.9851310484] 

[480, 379.6604567308, 548.2035030242] 

[490, 379.3311614372, 521.6264805948] 

[500, 379.0244180162, 515.7818170363] 

[510, 378.3461538462, 528.5650831653] 

[520, 378.9387019231, 553.4156376008] 

[530, 378.5543712045, 539.7568044355] 

[540, 378.4604314271, 542.8772051411] 

[550, 378.1185475709, 549.4010836694] 

[560, 378.2104946862, 532.0975302419] 

[570, 377.8635817308, 557.0212323589] 

[580, 377.4655237854, 549.2973790323] 

[590, 377.4912702429, 535.4619455645] 

[600, 377.971659919, 555.2355720766] 

[610, 377.3210399798, 559.5069304435] 

[620, 377.2068572874, 536.8160282258] 

[630, 377.3290738866, 534.0577746976] 

[640, 377.3413461538, 528.1521547379] 

[650, 377.5944458502, 521.4034778226] 

[660, 376.7414916498, 534.1592741935] 

[670, 376.8406819332, 528.4741998488] 

[680, 376.7224822874, 543.5247605847] 

[690, 376.8279035931, 561.1898311492] 

[700, 377.0173013664, 560.8664944556] 

[710, 376.7590460526, 543.9385080645] 

[720, 376.8238233806, 525.2759576613] 

[730, 376.1856971154, 539.1449092742] 

[740, 377.3864498988, 524.9340662802] 

[750, 376.3395748988, 552.7104334677] 

[760, 376.4484438259, 607.072265625] 

[770, 338.7351973684, 479.9861706149] 

[780, 277.0576290486, 475.908266129] 

[790, 267.7993737348, 442.4899823589] 

[800, 279.6542889676, 493.6359311996] 

[810, 277.9634678644, 481.0357547883] 

[820, 278.0501961032, 464.0327620968] 

[830, 276.8413777834, 471.0620589718] 

[840, 276.0834387652, 462.5811491935] 

[850, 269.640340334, 457.3562878024] 

[860, 267.7965587045, 464.0571761593] 

[870, 267.5223304656, 460.6539818548] 

[880, 267.1540991903, 493.8712512601] 

[890, 266.5068636134, 463.1403414819] 

[900, 266.0036690283, 466.070407006] 

[910, 267.1695660425, 476.1999117944] 

[920, 266.917257085, 467.806672127] 

[930, 266.7835589575, 449.042937248] 

[940, 266.2917193826, 454.1193611391] 

[950, 266.5360893219, 467.1482484879] 

[960, 265.9248481781, 449.970797631] 

[970, 266.2655933704, 448.7155997984] 

[980, 266.1191801619, 461.0349357359] 

[990, 266.2757148279, 443.9091481855] 

