Data type: log_quat, num_epochs: 1000, 	 lr: 0.005 
96154, 949.7724294355] 

[20, 746.5825531377, 915.2477948589] 

[30, 741.124430668, 887.6921622984] 

[40, 740.3762019231, 883.665952621] 

[50, 758.9800733806, 998.0704385081] 

[60, 758.6885121457, 1127.7986391129] 

[70, 744.0263157895, 1123.4973538306] 

[80, 776.1561234818, 1380.7724294355] 

[90, 747.5180921053, 1205.0079385081] 

[100, 690.9590080972, 1174.8957913306] 

[110, 656.3712677126, 969.1111391129] 

[120, 651.6449266194, 876.4812878024] 

[130, 648.7463942308, 896.1682207661] 

[140, 649.1379048583, 874.1021925403] 

[150, 655.2050860324, 925.4819808468] 

[160, 649.1027960526, 884.8719128024] 

[170, 671.0385247976, 1065.1667086694] 

[180, 663.0211285425, 961.3899949597] 

[190, 650.9928517206, 943.851625504] 

[200, 701.7031882591, 1131.0113407258] 

[210, 666.0501012146, 1082.2741935484] 

[220, 672.0349822874, 923.0036542339] 

[230, 664.648722166, 981.8230846774] 

[240, 663.9287702429, 962.8962953629] 

[250, 816.0378289474, 1182.0686743952] 

[260, 828.555541498, 1311.9715221774] 

[270, 676.785867915, 1101.2208921371] 

[280, 868.4576796559, 1450.66015625] 

[290, 849.3835399798, 1356.7095514113] 

[300, 898.0163841093, 1577.5718245968] 

[310, 861.7628415992, 1504.5704385081] 

[320, 935.0783147773, 1494.9921875] 

[330, 1158.1763663968, 1678.4994959677] 

[340, 1045.5313132591, 1592.2096774194] 

[350, 962.7306427126, 1618.9800907258] 

[360, 958.0850202429, 1579.8912550403] 

[370, 954.6904731781, 1504.3933971774] 

[380, 973.7897267206, 1561.7305947581] 

[390, 963.1521381579, 1612.0323840726] 

[400, 959.4016953441, 1625.4506048387] 

[410, 1237.2498734818, 1577.7134576613] 

[420, 1229.050354251, 1556.372983871] 

[430, 1061.6542257085, 1448.8607610887] 

[440, 961.2809969636, 1644.4346018145] 

[450, 959.5702808704, 1673.4614415323] 

[460, 958.8331857287, 1682.1728830645] 

[470, 960.4254807692, 1664.4763104839] 

[480, 958.3615258097, 1673.7413054435] 

[490, 958.8111082996, 1666.0148689516] 

[500, 958.6526442308, 1675.3721018145] 

[510, 958.7669534413, 1668.372983871] 

[520, 958.2433577935, 1675.7198840726] 

[530, 958.2948507085, 1671.6287802419] 

[540, 958.9710273279, 1664.4403981855] 

[550, 959.4881705466, 1664.908140121] 

[560, 958.2049595142, 1666.9377520161] 

[570, 958.7379807692, 1673.033140121] 

[580, 958.7949772267, 1667.0958921371] 

[590, 958.6507464575, 1675.2338709677] 

[600, 958.5964068826, 1666.865171371] 

[610, 958.6518218623, 1666.0895917339] 

[620, 958.7489878543, 1669.2649949597] 

[630, 958.1599822874, 1672.287046371] 

[640, 959.1113360324, 1671.3040574597] 

[650, 958.671305668, 1666.4944556452] 

[660, 958.348367915, 1665.4983618952] 

[670, 958.3644357287, 1666.8819304435] 

[680, 958.7908021255, 1664.2644909274] 

[690, 959.0039853239, 1675.4972278226] 

[700, 958.1929402834, 1666.3931451613] 

[710, 958.6613107287, 1674.0357862903] 

[720, 958.0604124494, 1670.4105342742] 

[730, 958.1002656883, 1671.5670362903] 

[740, 959.5834387652, 1672.5579637097] 

[750, 958.8663967611, 1677.3349294355] 

[760, 958.7168522267, 1669.1374747984] 

[770, 958.9609058704, 1686.7525201613] 

[780, 959.8436867409, 1686.7530241935] 

[790, 958.6613739879, 1682.9649697581] 

[800, 958.4782388664, 1680.3077116935] 

[810, 959.3213562753, 1677.5657762097] 

[820, 958.637715081, 1689.4923135081] 

[830, 958.1656756073, 1698.6291582661] 

[840, 958.6342990891, 1688.2580645161] 

[850, 958.5304908907, 1695.0267137097] 

[860, 958.9225708502, 1692.6389868952] 

[870, 958.8892965587, 1689.3487903226] 

[880, 959.156819332, 1654.1600302419] 

[890, 958.4097925101, 1644.9111643145] 

[900, 958.7071103239, 1659.4222530242] 

[910, 958.7622722672, 1652.5458669355] 

[920, 959.1924974696, 1645.8966733871] 

[930, 959.6733299595, 1649.9780745968] 

[940, 958.2057186235, 1642.0074344758] 

[950, 957.9216852227, 1635.8035534274] 

[960, 958.8896761134, 1631.6059727823] 

[970, 958.9439524291, 1636.5623739919] 

[980, 958.9068825911, 1633.6382308468] 

[990, 958.4875379555, 1626.0690524194] 

