Epoch: 800, 	 train loss: 21.283604425, 	 test loss: 19.8469828944 

Epoch: 810, 	 train loss: 21.1532313544, 	 test loss: 19.7186830582 

Epoch: 820, 	 train loss: 21.0104140309, 	 test loss: 19.601609753 

Epoch: 830, 	 train loss: 20.8804640056, 	 test loss: 19.5014727193 

Epoch: 840, 	 train loss: 20.7631974317, 	 test loss: 19.3838914441 

Epoch: 850, 	 train loss: 20.6452626835, 	 test loss: 19.2719647807 

Epoch: 860, 	 train loss: 20.5211324962, 	 test loss: 19.1847061649 

Epoch: 870, 	 train loss: 20.4214400936, 	 test loss: 19.0669752552 

Epoch: 880, 	 train loss: 20.3053892807, 	 test loss: 18.9695355815 

Epoch: 890, 	 train loss: 20.1872884774, 	 test loss: 18.8733362998 

Epoch: 900, 	 train loss: 20.0764585178, 	 test loss: 18.7906927293 

Epoch: 910, 	 train loss: 19.9695328315, 	 test loss: 18.7116541709 

Epoch: 920, 	 train loss: 19.8569909223, 	 test loss: 18.6481008222 

Epoch: 930, 	 train loss: 19.7585894009, 	 test loss: 18.5924013199 

Epoch: 940, 	 train loss: 19.6577306585, 	 test loss: 18.5361741589 

Epoch: 950, 	 train loss: 19.5461356592, 	 test loss: 18.480484501 

Epoch: 960, 	 train loss: 19.4627641068, 	 test loss: 18.4207625851 

Epoch: 970, 	 train loss: 19.3659025493, 	 test loss: 18.3559215915 

Epoch: 980, 	 train loss: 19.2715891479, 	 test loss: 18.2917854555 

Epoch: 990, 	 train loss: 19.1728100487, 	 test loss: 18.2249165197 

