Data type: eucl_motion, num_epochs: 1000, 	 lr: 0.0001 
3.1367128434] 

[20, 22.7455797697, 23.0782549458] 

[30, 22.6855053612, 23.0194446195] 

[40, 22.6207240796, 22.9636191091] 

[50, 22.5615511134, 22.905202558] 

[60, 22.4948601974, 22.8431613061] 

[70, 22.4314824772, 22.7768574376] 

[80, 22.3496884489, 22.7079566217] 

[90, 22.2857097672, 22.6367226878] 

[100, 22.2165794218, 22.5624192761] 

[110, 22.1345541024, 22.4841407038] 

[120, 22.0561167605, 22.4027138987] 

[130, 21.9737237475, 22.317835654] 

[140, 21.8870389992, 22.2315063477] 

[150, 21.8066584166, 22.1428458921] 

[160, 21.7112458882, 22.0532856603] 

[170, 21.6247944079, 21.9631820186] 

[180, 21.5328097324, 21.8715032762] 

[190, 21.4431755282, 21.7778005292] 

[200, 21.3592267365, 21.6833338584] 

[210, 21.2515834546, 21.5889459425] 

[220, 21.1633014138, 21.4947076613] 

[230, 21.0654375949, 21.3981165732] 

[240, 20.9752162671, 21.3006119267] 

[250, 20.8706647742, 21.2036310011] 

[260, 20.7697289347, 21.1061736076] 

[270, 20.679570866, 21.0069757277] 

[280, 20.5783918744, 20.9068130985] 

[290, 20.4740835337, 20.8068040417] 

[300, 20.3757946926, 20.7060546875] 

[310, 20.2805818257, 20.6044803742] 

[320, 20.176233948, 20.50220711] 

[330, 20.0842729947, 20.3991718908] 

[340, 19.9852171369, 20.2962882749] 

[350, 19.8735885311, 20.1934361612] 

[360, 19.77712432, 20.0900130733] 

[370, 19.6810080339, 19.9864738218] 

[380, 19.5742049121, 19.8829601657] 

[390, 19.4728875411, 19.7788479713] 

[400, 19.3700124146, 19.6753559728] 

[410, 19.2660460684, 19.5718935074] 

[420, 19.168965081, 19.4687244046] 

[430, 19.0608532863, 19.3676068706] 

[440, 18.9696020211, 19.2674914945] 

[450, 18.8676065916, 19.1679864699] 

[460, 18.7712352923, 19.071011451] 

[470, 18.6849498672, 18.9783128308] 

[480, 18.5956952176, 18.8901091545] 

[490, 18.4985114341, 18.8017085906] 

[500, 18.4053109976, 18.7129024383] 

[510, 18.310185112, 18.6234406502] 

[520, 18.2163382465, 18.5334708921] 

[530, 18.1235292257, 18.444168583] 

[540, 18.0331813797, 18.3552600491] 

[550, 17.9438990543, 18.267292638] 

[560, 17.8514933103, 18.1799532983] 

[570, 17.7577788936, 18.0928226594] 

[580, 17.6812590935, 18.0057589623] 

[590, 17.5825788367, 17.9194591891] 

[600, 17.4948898501, 17.835746519] 

[610, 17.4114352701, 17.7569560389] 

[620, 17.3284294345, 17.681449644] 

[630, 17.2504863044, 17.6069729713] 

[640, 17.1716140562, 17.534171812] 

[650, 17.0896203663, 17.4616777974] 

[660, 17.0187602796, 17.389687815] 

[670, 16.9391289221, 17.3174261278] 

[680, 16.8675037955, 17.2463083575] 

[690, 16.7855951101, 17.1774685767] 

[700, 16.7073080086, 17.1138167843] 

[710, 16.6350443605, 17.0525473318] 

[720, 16.5599597514, 16.9948120117] 

[730, 16.4870180447, 16.9395555066] 

[740, 16.4072858679, 16.8845470798] 

[750, 16.3371661105, 16.8294480847] 

[760, 16.2617088658, 16.7762057397] 

[770, 16.1970600329, 16.7254067698] 

[780, 16.1365329264, 16.6739501953] 

[790, 16.0722013775, 16.6241868542] 

[800, 16.008498466, 16.5745790543] 

[810, 15.9436252609, 16.526121078] 

[820, 15.8806695977, 16.4777270902] 

[830, 15.8251646714, 16.430775304] 

[840, 15.7631707442, 16.3842881726] 

[850, 15.7023639138, 16.3378266365] 

[860, 15.6479294503, 16.2931252756] 

[870, 15.5944863756, 16.2473075621] 

[880, 15.5371410046, 16.1997198289] 

[890, 15.4846003606, 16.1549682617] 

[900, 15.4144766495, 16.1086898311] 

[910, 15.3701201528, 16.0626880277] 

[920, 15.3131355564, 16.0164804766] 

[930, 15.2627140925, 15.9681081464] 

[940, 15.2107427806, 15.9241047521] 

[950, 15.1645557234, 15.8821509577] 

[960, 15.1090053296, 15.8394361927] 

[970, 15.0715035504, 15.7967686807] 

[980, 15.0172183388, 15.7449705062] 

[990, 14.9740232398, 15.7025687925] 

