Data type: eucl_motion, num_epochs: 1000, 	 lr: 0.005 
5466559625] 

[20, 2.8260616658, 7.5909935736] 

[30, 2.5580221941, 7.5596943517] 

[40, 2.4219513557, 7.7241004206] 

[50, 2.6202493892, 8.000182121] 

[60, 2.4547035125, 8.1592126662] 

[70, 2.30253842, 7.8561913275] 

[80, 2.1826801995, 7.8570635396] 

[90, 2.1081426829, 7.9968650572] 

[100, 2.4095266242, 8.116706602] 

[110, 2.3532734612, 7.9111141082] 

[120, 2.2436212084, 7.8407991471] 

[130, 2.3194755523, 7.3559752434] 

[140, 2.4416449543, 7.1926742061] 

[150, 2.3727874138, 7.40540486] 

[160, 2.3457552643, 7.4688410605] 

[170, 2.5121474787, 7.4174287858] 

[180, 2.3848755871, 7.3325977941] 

[190, 2.4236623169, 7.3489798269] 

[200, 2.267146431, 7.5810507497] 

[210, 2.3243791217, 7.5975331952] 

[220, 2.8070898635, 7.1065964237] 

[230, 2.6157107952, 7.1106158841] 

[240, 2.5581855311, 7.1755922379] 

[250, 2.5172472502, 7.2522435342] 

[260, 2.4469322791, 7.3697037235] 

[270, 2.4293719458, 7.4533366542] 

[280, 2.2920280179, 7.4378228957] 

[290, 2.2643981192, 7.487876646] 

[300, 2.2533982003, 7.6022712954] 

[310, 2.2372485945, 7.6597575526] 

[320, 2.5494846854, 7.6954370314] 

[330, 2.4832205213, 7.5800229965] 

[340, 2.4139589626, 7.7614815004] 

[350, 2.5603494374, 7.5056344309] 

[360, 2.3712222451, 7.8817015617] 

[370, 2.5856053897, 7.3360329905] 

[380, 2.9155530428, 7.7601008261] 

[390, 2.7717430949, 7.7029192525] 

[400, 2.7074673919, 7.6755410471] 

[410, 2.684389431, 7.7454233477] 

[420, 2.660093238, 7.9880292339] 

[430, 2.7157219644, 7.7565504505] 

[440, 2.7099876249, 7.6341572423] 

[450, 2.7058463772, 7.597806869] 

[460, 2.6573599997, 7.9783152919] 

[470, 2.6468715899, 7.5494005757] 

[480, 2.6320857616, 7.6309292701] 

[490, 2.6272190109, 7.5989547237] 

[500, 2.6158464563, 7.5596338088] 

[510, 2.8358374221, 7.3631680396] 

[520, 2.6171714381, 7.4567088466] 

[530, 2.5961274058, 7.4338669315] 

[540, 2.582047559, 7.7447081535] 

[550, 2.5250128001, 7.8971754505] 

[560, 2.5108709297, 7.7883399225] 

[570, 2.483532616, 8.0076559744] 

[580, 2.6304000051, 7.6777653848] 

[590, 2.6037854646, 7.7354209654] 

[600, 2.5904681866, 7.6959725657] 

[610, 2.5770747999, 7.7417563162] 

[620, 2.5814206513, 7.6789102862] 

[630, 2.5849485822, 7.7391564154] 

[640, 2.5852666075, 7.6889431861] 

[650, 2.5786720925, 7.7336411015] 

[660, 2.6880505519, 8.0723478256] 

[670, 2.5878543004, 7.9464908723] 

[680, 2.5874337262, 8.0170420985] 

[690, 2.5822138613, 7.9996421568] 

[700, 2.5770486067, 8.0540476153] 

[710, 2.644867314, 7.8897611557] 

[720, 2.5865261062, 7.9206798923] 

[730, 2.5808112882, 7.8382898146] 

[740, 2.5750811496, 7.9192608249] 

[750, 2.5934290094, 7.9015714584] 

[760, 2.5880784255, 7.9462423017] 

[770, 2.55603398, 7.8759435838] 

[780, 2.5438294198, 7.8091760451] 

[790, 2.5347843556, 7.9317681097] 

[800, 2.531863811, 7.9642668693] 

[810, 2.5327788442, 7.7895114037] 

[820, 2.5290359312, 7.8093773627] 

[830, 2.5277040304, 7.8829355548] 

[840, 2.5440579928, 7.9718086489] 

[850, 2.5318264981, 8.039673836] 

[860, 2.5267126415, 7.9198278612] 

[870, 2.5288898916, 7.9076823573] 

[880, 2.787606305, 7.6657759143] 

[890, 2.5437723384, 7.7495727539] 

[900, 2.5350813769, 7.7209354524] 

[910, 2.5259658875, 7.6204174411] 

[920, 2.5273284294, 7.5873979138] 

[930, 2.5259253622, 7.6134038125] 

[940, 2.5259290687, 7.621192686] 

[950, 2.5237103049, 7.6371760215] 

[960, 2.5307545527, 7.6152801514] 

[970, 2.5233601559, 7.5716577345] 

[980, 2.5229361221, 7.6068528698] 

[990, 2.5225140653, 7.5888007379] 

