Data type: eucl_motion, num_epochs: 1000, 	 lr: 0.005 
2898480815] 

[20, 3.1325999889, 6.8655252764] 

[30, 2.8763766269, 7.1906511861] 

[40, 2.6969092983, 7.7257970995] 

[50, 2.6773417237, 7.3929418748] 

[60, 2.4034354638, 8.0028425647] 

[70, 2.3330641526, 8.4019450526] 

[80, 2.368165298, 8.5965566327] 

[90, 2.056010505, 8.6091446415] 

[100, 1.9544611016, 8.0406971593] 

[110, 3.0001057613, 6.7958866242] 

[120, 2.9933012063, 6.9579792638] 

[130, 2.9026385473, 7.3878277194] 

[140, 2.614571637, 7.0600541638] 

[150, 2.439873205, 7.1003206315] 

[160, 2.3423494038, 7.2994749008] 

[170, 2.1359855868, 7.0969740345] 

[180, 2.0518586317, 7.2127911968] 

[190, 1.9928971881, 6.9050253591] 

[200, 1.9490220537, 6.7695366644] 

[210, 1.920467979, 6.7948303223] 

[220, 2.9989868658, 7.7223466442] 

[230, 2.6081127831, 7.8165593301] 

[240, 2.4753581059, 7.7310564595] 

[250, 2.4590812405, 7.6408642184] 

[260, 3.6005085934, 6.8568952007] 

[270, 2.8114305257, 7.0582349223] 

[280, 2.6913494156, 7.3069817328] 

[290, 2.5354517887, 7.6094074865] 

[300, 2.6080369216, 7.4389737037] 

[310, 2.4791390732, 7.5861230666] 

[320, 2.433341702, 7.6930674891] 

[330, 2.4494295313, 7.5916457638] 

[340, 2.4932685883, 7.4778836158] 

[350, 2.4485429154, 7.4776749149] 

[360, 2.3953437342, 7.3887727799] 

[370, 2.3624035299, 7.5749487108] 

[380, 2.403466105, 7.8070334158] 

[390, 2.3866797073, 7.9114926246] 

[400, 2.375627649, 7.851708689] 

[410, 2.3730461337, 7.5680906234] 

[420, 2.3561443375, 7.5749747984] 

[430, 2.3485018464, 7.6892276887] 

[440, 2.3427954299, 7.7275956677] 

[450, 2.3372026822, 7.8016480477] 

[460, 2.3275534441, 7.7223279399] 

[470, 2.4557939908, 8.1656705795] 

[480, 2.322506059, 8.1329522902] 

[490, 2.264710214, 8.4954568186] 

[500, 2.2097617701, 8.6230892058] 

[510, 2.1757347941, 8.5610174364] 

[520, 2.1484026581, 8.3154287031] 

[530, 2.2247754302, 8.3790076471] 

[540, 2.1042146876, 8.5504967474] 

[550, 2.3264834755, 8.2489781534] 

[560, 2.2290481382, 8.3331407116] 

[570, 2.2059993358, 8.2707027312] 

[580, 2.1979738305, 8.3317191832] 

[590, 2.1849342995, 8.3543474751] 

[600, 2.1782836914, 8.3477094097] 

[610, 2.3181107865, 8.3036361202] 

[620, 2.2336544392, 8.3969982516] 

[630, 2.2191715627, 8.435602988] 

[640, 2.2058382227, 8.4366474767] 

[650, 2.2077691082, 8.1782354539] 

[660, 2.2055913639, 8.2187751032] 

[670, 2.2135027063, 8.2720455047] 

[680, 2.1646244188, 8.3433020807] 

[690, 2.1591915486, 8.3002673734] 

[700, 2.2135605291, 8.273358745] 

[710, 2.2727989784, 8.9716009325] 

[720, 2.1389251585, 8.337843372] 

[730, 2.1230523113, 8.3221533991] 

[740, 2.1090935464, 8.3815593104] 

[750, 2.1043367579, 8.4811106036] 

[760, 2.174229425, 8.0511469687] 

[770, 2.1300567751, 8.0647159699] 

[780, 2.6423754982, 8.2683676443] 

[790, 2.2579387711, 8.435149162] 

[800, 2.1871122908, 8.3630853468] 

[810, 2.061059002, 8.564293646] 

[820, 2.1499127222, 8.540348176] 

[830, 2.2692144602, 8.1299970073] 

[840, 2.2322140589, 8.1068774808] 

[850, 2.2152949654, 8.0727607973] 

[860, 2.1400942165, 8.1354970624] 

[870, 2.2195029317, 8.0743752756] 

[880, 2.1432586546, 8.2053650887] 

[890, 2.2359730338, 8.0877065351] 

[900, 2.1682645358, 8.0705561484] 

[910, 2.1552897465, 8.1089763026] 

[920, 2.1506431672, 8.0214907738] 

[930, 2.1542138474, 8.2837406282] 

[940, 2.1525429174, 8.2454440209] 

[950, 2.1496670989, 8.4993059712] 

[960, 2.1490001601, 8.4131637081] 

[970, 2.1424743405, 8.6476932649] 

[980, 2.1439112613, 8.5171124858] 

[990, 2.1395409464, 8.5259468325] 

