Data type: quat, num_epochs: 1000, 	 lr: 0.0005 
18927, 19.1568327873] 

[20, 18.2358853112, 18.5461898311] 

[30, 17.6033456161, 17.9582736108] 

[40, 17.006713373, 17.5438488376] 

[50, 16.4325618358, 17.1466221963] 

[60, 15.852022117, 16.7355405746] 

[70, 15.2949633888, 16.3385620117] 

[80, 14.7661251423, 15.9812060941] 

[90, 14.2890456968, 15.6814368463] 

[100, 13.8542480469, 15.3030582551] 

[110, 13.4112909603, 15.0025949786] 

[120, 12.9990026806, 14.757677632] 

[130, 12.5886882828, 14.5045609013] 

[140, 12.1852335447, 14.162895941] 

[150, 11.8233677173, 13.9487560641] 

[160, 11.4528502182, 13.7955095845] 

[170, 11.1249397062, 13.5553647933] 

[180, 10.8295700753, 13.2457236013] 

[190, 10.5297466077, 13.0226223853] 

[200, 10.246301319, 12.8473176033] 

[210, 9.9823418127, 12.6610737462] 

[220, 9.7222707648, 12.3814923686] 

[230, 9.4977454058, 12.3352661133] 

[240, 9.2911273169, 12.205125378] 

[250, 9.0851576338, 12.1488716372] 

[260, 8.891478998, 11.8791060909] 

[270, 8.6967704248, 11.7090080015] 

[280, 8.4989018614, 11.5861265121] 

[290, 8.2937367551, 11.406955842] 

[300, 8.0990291704, 11.2761909731] 

[310, 7.9247508184, 11.1480594758] 

[320, 7.7259585732, 11.0498233918] 

[330, 7.5579581936, 10.9431191721] 

[340, 7.3822224111, 10.7635744156] 

[350, 7.2316182866, 10.6918994534] 

[360, 7.0763636292, 10.6001409715] 

[370, 6.9279730793, 10.5489088489] 

[380, 6.7881363471, 10.5107776273] 

[390, 6.6255490693, 10.4054033833] 

[400, 6.4904033954, 10.3898837182] 

[410, 6.3709207759, 10.2835240518] 

[420, 6.229624142, 10.2741531864] 

[430, 6.1154167392, 10.2393277076] 

[440, 6.0043302837, 10.1865687216] 

[450, 5.8859759497, 10.1395874023] 

[460, 5.7836385256, 10.0874171103] 

[470, 5.6984828686, 10.0974130938] 

[480, 5.6005152652, 10.0328526651] 

[490, 5.5036858315, 10.0125112226] 

[500, 5.4156286572, 9.9399778305] 

[510, 5.3169049097, 9.9336616762] 

[520, 5.2302265862, 9.9481801679] 

[530, 5.1314929545, 9.9003423875] 

[540, 5.0421498411, 9.9354129914] 

[550, 4.9471084657, 9.712319651] 

[560, 4.8675665604, 9.7830397083] 

[570, 4.7927058293, 9.5989438949] 

[580, 4.7151842619, 9.759599255] 

[590, 4.6572507789, 9.7306449644] 

[600, 4.6006674824, 9.7723300072] 

[610, 4.5589560072, 9.8340680522] 

[620, 4.4930805407, 9.7054974956] 

[630, 4.4234357208, 9.644324518] 

[640, 4.462431008, 9.9554679624] 

[650, 4.4080088998, 9.891942178] 

[660, 4.3553886877, 9.9164103846] 

[670, 4.3163449677, 9.9560537031] 

[680, 4.2705690948, 9.7002642232] 

[690, 4.2149233181, 9.8901052167] 

[700, 4.1764024742, 10.0281362226] 

[710, 4.1398661378, 9.9124913369] 

[720, 4.0772413493, 10.0689982753] 

[730, 4.0399167451, 10.044604886] 

[740, 3.9855576488, 9.9199494393] 

[750, 3.9492696538, 9.8731246456] 

[760, 3.8996752534, 10.1462884718] 

[770, 3.8563598139, 10.0662831952] 

[780, 3.8130194166, 9.9152900942] 

[790, 3.6912453841, 9.7046607233] 

[800, 3.6415252068, 9.7164227886] 

[810, 3.6706757951, 9.9483042071] 

[820, 3.5972428418, 9.8800865912] 

[830, 3.5312314671, 10.1240805349] 

[840, 3.4749007129, 9.9668185326] 

[850, 3.4253142199, 10.0648518224] 

[860, 3.3886493884, 10.2115547426] 

[870, 3.3394545582, 10.2180727067] 

[880, 3.2953970596, 10.2526894846] 

[890, 3.2760447143, 10.3667563162] 

[900, 3.2298583984, 10.5434255292] 

[910, 3.1842137387, 10.6826486895] 

[920, 3.1542111293, 10.5514063681] 

[930, 3.1260835594, 10.7702439831] 

[940, 3.0836777166, 10.7322220341] 

[950, 3.0477566738, 10.5291718514] 

[960, 3.0075357414, 10.7217180806] 

[970, 2.9626417894, 10.6790121755] 

[980, 2.9353840322, 10.5352064563] 

[990, 2.9151816426, 10.6678624307] 

