Data type: quat, num_epochs: 1000, 	 lr: 0.05 
74703, 12.7288089875] 

[20, 7.3381535457, 12.7161619125] 

[30, 7.4763677806, 12.4848849389] 

[40, 7.4628248948, 12.6964613392] 

[50, 7.4513507797, 12.6701394358] 

[60, 7.4437008753, 12.6476765294] 

[70, 7.4424075231, 12.7597449518] 

[80, 7.43215164, 12.6505382907] 

[90, 7.1199437192, 12.8068237305] 

[100, 7.0622365851, 12.7019210323] 

[110, 7.160818988, 12.4273150044] 

[120, 7.0083437777, 13.2604409495] 

[130, 6.9650157357, 13.6632276966] 

[140, 6.9441110711, 13.653964135] 

[150, 6.9385210416, 13.6100926553] 

[160, 6.9377841718, 13.7120272729] 

[170, 6.9249944648, 13.5362854004] 

[180, 6.9291354654, 13.6556051931] 

[190, 6.9302113645, 13.5948555239] 

[200, 6.930399165, 13.5832755796] 

[210, 6.9354401253, 13.5708647697] 

[220, 6.7485074804, 13.1907673497] 

[230, 6.591108438, 13.7259501796] 

[240, 6.7017817324, 13.1411260789] 

[250, 6.9619190046, 13.5752169701] 

[260, 6.9453999755, 13.5331765452] 

[270, 6.952380717, 13.3791149509] 

[280, 6.9481858474, 13.5698813162] 

[290, 6.9409164861, 13.5559328141] 

[300, 6.9406229243, 13.5877665858] 

[310, 6.9440043214, 13.4975221695] 

[320, 6.932921622, 13.6393954369] 

[330, 6.9368570305, 13.7110024729] 

[340, 6.9327160299, 13.6292202857] 

[350, 6.9301614491, 13.7303555396] 

[360, 6.9357035401, 13.6982146232] 

[370, 6.9299346059, 13.7148024036] 

[380, 6.9346123205, 13.7319838001] 

[390, 6.9352864254, 13.6493638562] 

[400, 6.9312165913, 13.7849662535] 

[410, 6.9354692837, 13.7036142657] 

[420, 6.9310090223, 13.6143395209] 

[430, 6.9240515087, 13.7494654502] 

[440, 6.9310045744, 13.6881054294] 

[450, 6.9235834902, 13.738607099] 

[460, 6.9282004167, 13.6659161968] 

[470, 6.9251620026, 13.7366588962] 

[480, 6.9323364752, 13.7061551002] 

[490, 6.9303107011, 13.6720147902] 

[500, 6.9282765253, 13.7639622842] 

[510, 6.9225683791, 13.7135275564] 

[520, 6.9265986763, 13.7880947974] 

[530, 6.9214282325, 13.6900093325] 

[540, 6.9293039916, 13.7236574235] 

[550, 6.918395749, 13.6903716057] 

[560, 6.9296845347, 13.7290255639] 

[570, 6.9301713333, 13.7596750567] 

[580, 6.9220677426, 13.6958303144] 

[590, 6.9274052299, 13.7013923891] 

[600, 6.9245219984, 13.7293819304] 

[610, 6.9262448207, 13.7061295048] 

[620, 6.919317454, 13.7264158187] 

[630, 6.9177893511, 13.6617195376] 

[640, 6.9215246038, 13.6909356886] 

[650, 6.9192027968, 13.66847672] 

[660, 6.8207602559, 13.8431219286] 

[670, 6.8220293918, 13.8296981319] 

[680, 6.820405906, 13.843671245] 

[690, 6.824167352, 13.8064575195] 

[700, 6.8127278316, 13.7827886766] 

[710, 6.8136693051, 13.8877996629] 

[720, 6.8225522678, 13.887147965] 

[730, 6.8211452469, 13.8653790874] 

[740, 6.819313698, 13.8622948431] 

[750, 6.8224855492, 13.8533059397] 

[760, 6.8221055004, 13.8833145634] 

[770, 6.8173076923, 13.8565496629] 

[780, 6.8201306301, 13.8742597026] 

[790, 6.8264847111, 13.8844023674] 

[800, 6.8245854551, 13.9144562752] 

[810, 6.8165317798, 13.9068377095] 

[820, 6.8190107461, 13.8746160692] 

[830, 6.8197797397, 13.9142633254] 

[840, 6.8180158978, 13.8743217222] 

[850, 6.8166044289, 13.9156622118] 

[860, 6.830857497, 13.9117598995] 

[870, 6.8214961372, 13.8953148627] 

[880, 6.8180094731, 13.8633078298] 

[890, 6.8202116808, 13.8626896028] 

[900, 6.8249743998, 13.8816951629] 

[910, 6.8131227069, 13.8898374496] 

[920, 6.8163469446, 13.8694093766] 

[930, 6.8210982967, 13.8480490408] 

[940, 6.8160494291, 13.9062982375] 

[950, 6.8212935104, 13.8800294938] 

[960, 6.8201266764, 13.8579209851] 

[970, 6.8229268804, 13.8657315162] 

[980, 6.8231680557, 13.8719128024] 

[990, 6.8160227416, 13.8345149871] 

