Data type: quat, num_epochs: 1000, 	 lr: 0.005 
086, 9.5341855941] 

[20, 5.3594412244, 8.0994051041] 

[30, 5.5277396136, 9.0802031486] 

[40, 5.3709494402, 8.8683954054] 

[50, 5.6616813876, 9.8607906218] 

[60, 5.8680919076, 10.1587711457] 

[70, 5.3598993587, 10.0135311004] 

[80, 5.3535675172, 9.8773921843] 

[90, 5.2977181253, 9.9265235163] 

[100, 5.7087881729, 10.0142261136] 

[110, 5.7006297247, 9.8798070108] 

[120, 5.764518954, 9.7755126953] 

[130, 5.7007557487, 9.8858760711] 

[140, 5.646610399, 9.9229145665] 

[150, 5.7431373751, 9.7366254253] 

[160, 5.6402138158, 9.5624448715] 

[170, 5.6087641542, 9.6514085339] 

[180, 5.5880883097, 9.5181392547] 

[190, 5.5879899616, 9.4772762176] 

[200, 5.5759232865, 9.43478492] 

[210, 5.5749640214, 9.3173247307] 

[220, 5.5718667961, 9.3769541094] 

[230, 5.5566683009, 9.4163296607] 

[240, 5.6250751202, 9.266339702] 

[250, 5.5175287038, 9.6022201046] 

[260, 5.5362697092, 9.55112285] 

[270, 5.4993451694, 9.7117378481] 

[280, 5.4630225795, 9.5629242928] 

[290, 6.1345748592, 8.8606153919] 

[300, 5.9485199345, 8.9008946573] 

[310, 5.7550547982, 9.3220628308] 

[320, 6.1569008769, 9.511615384] 

[330, 5.7428611107, 9.5009243873] 

[340, 5.7266583771, 9.5370749197] 

[350, 5.7356401822, 8.7658730784] 

[360, 6.0436112253, 8.8419356808] 

[370, 6.2209319451, 9.0592119771] 

[380, 6.1104642428, 9.1041062878] 

[390, 6.0614092746, 9.0475975775] 

[400, 6.0032825547, 9.0803202967] 

[410, 6.0057728879, 9.0123222105] 

[420, 5.9944752064, 8.6295973255] 

[430, 5.8117903119, 8.7811791205] 

[440, 5.7366365132, 8.7449478642] 

[450, 5.8929804134, 8.8548219742] 

[460, 5.8878979393, 8.8085346837] 

[470, 5.8666305233, 8.7878910188] 

[480, 6.0869837464, 9.8783648091] 

[490, 5.9505155617, 9.7949671591] 

[500, 5.9785141424, 9.7983270461] 

[510, 5.6810737641, 9.4362605926] 

[520, 6.0558923883, 9.6694060295] 

[530, 6.0449040834, 9.5063319052] 

[540, 6.0391311954, 9.4910238943] 

[550, 5.7881279455, 9.5927931263] 

[560, 6.0371479235, 9.3324338851] 

[570, 6.0382050425, 9.3922325873] 

[580, 6.0446668617, 9.4240004017] 

[590, 6.0358669266, 9.4644125662] 

[600, 6.0269449211, 9.4003857028] 

[610, 6.0358041617, 9.421169158] 

[620, 5.9492123252, 9.5775087418] 

[630, 5.9486420048, 9.5109843592] 

[640, 5.9559217445, 9.5574409731] 

[650, 5.9528813536, 9.6075488675] 

[660, 5.9516912916, 9.5780718403] 

[670, 5.9520851784, 9.5482453377] 

[680, 5.9540916783, 9.5478180916] 

[690, 5.9520500894, 9.5500488281] 

[700, 5.9580038588, 9.5654661117] 

[710, 5.9552748213, 9.5706629599] 

[720, 5.9455764091, 9.5412912676] 

[730, 5.9562503954, 9.5777440225] 

[740, 5.8877590658, 9.7934019027] 

[750, 5.8804516503, 9.7722906297] 

[760, 5.8850962527, 9.6383519326] 

[770, 5.8770890332, 9.7093043174] 

[780, 5.8814267301, 9.6536254883] 

[790, 5.87542008, 9.5912652785] 

[800, 5.8758159437, 9.5562419276] 

[810, 5.8716299698, 9.5871877363] 

[820, 5.8799940102, 9.5762014081] 

[830, 5.8743150225, 9.5858922159] 

[840, 5.8807748648, 9.6087735084] 

[850, 5.7473114879, 9.8204522902] 

[860, 5.6667470585, 9.9921038228] 

[870, 5.9208060199, 9.6377543788] 

[880, 5.8836235015, 9.8127638294] 

[890, 5.8753113534, 9.7291092411] 

[900, 5.8709212701, 9.6939697266] 

[910, 5.8738326717, 9.7778467978] 

[920, 5.8759370256, 9.6513219034] 

[930, 5.8678695123, 9.6858490975] 

[940, 5.8790367219, 9.6411132812] 

[950, 5.8788103729, 9.6069493448] 

[960, 5.8892975471, 9.6481746551] 

[970, 5.8801837875, 9.5845858666] 

[980, 5.8743051382, 9.6934843986] 

[990, 5.8848278957, 9.5701658187] 

