Data type: pos_diff, num_epochs: 1000, 	 lr: 0.0001 
066793, 191.7647545856, 0] 

[20, 33.2280541724, 77.0453358526, 0] 

[30, 16.6501518501, 38.9099970279, 0] 

[40, 8.1548985073, 20.537760859, 0] 

[50, 5.0956045297, 8.9792858621, 0] 

[60, 4.1122849014, 5.3246214493, 0] 

[70, 3.9980619661, 7.5376135785, 0] 

[80, 4.1345395937, 5.2647074824, 0] 

[90, 3.1839730399, 2.6560421819, 0] 

[100, 4.00669777, 2.7115047289, 0] 

[110, 3.7717174488, 7.3547515869, 0] 

[120, 3.6065361945, 2.1936341991, 0] 

[130, 3.8007108248, 2.4275303716, 0] 

[140, 3.7434927133, 4.3211626799, 0] 

[150, 4.086893941, 6.5374815568, 0] 

[160, 3.6316313691, 2.3557304714, 0] 

[170, 4.4133253831, 6.4191755212, 0] 

[180, 3.8600614778, 24.7293409265, 0] 

[190, 4.1319989215, 2.5273359547, 0] 

[200, 4.5236460927, 6.4706739343, 0] 

[210, 3.9915949224, 6.1457824707, 0] 

[220, 3.82981118, 1.0974539881, 0] 

[230, 3.6437320919, 1.9188622184, 0] 

[240, 4.3915854653, 8.9575898544, 0] 

[250, 4.2667105539, 3.5191663659, 0] 

[260, 3.728443523, 6.9357916791, 0] 

[270, 4.0208250612, 1.576449021, 0] 

[280, 4.1901131095, 5.3597050542, 0] 

[290, 3.8184670249, 1.9129690087, 0] 

[300, 3.8459858318, 6.5334001624, 0] 

[310, 3.8482917534, 5.4130023459, 0] 

[320, 4.1466842484, 8.3674163818, 0] 

[330, 4.2986916343, 4.7368137525, 0] 

[340, 3.9034661932, 4.8727370552, 0] 

[350, 3.8349035913, 4.4955261894, 0] 

[360, 4.0958422986, 7.8845466945, 0] 

[370, 3.9293880253, 6.5452376656, 0] 

[380, 4.2040120219, 13.9333376677, 0] 

[390, 3.4792829241, 2.9698665453, 0] 

[400, 3.9542035113, 9.1816240394, 0] 

[410, 4.0287415221, 3.5244956639, 0] 

[420, 3.7230409056, 2.8689950031, 0] 

[430, 3.8375820956, 6.4317454462, 0] 

[440, 3.7881905692, 2.8864192133, 0] 

[450, 4.2163582267, 6.5106731912, 0] 

[460, 3.6262850919, 1.5420708034, 0] 

[470, 4.0753408579, 1.439141315, 0] 

[480, 4.037625491, 6.9075091818, 0] 

[490, 4.1021302611, 5.8936170495, 0] 

[500, 3.7090745863, 6.7521621041, 0] 

[510, 3.6509043935, 5.0205678525, 0] 

[520, 3.7660492279, 3.8779296875, 0] 

[530, 3.5789171156, 2.9883837493, 0] 

[540, 4.0727569245, 1.7474962317, 0] 

[550, 3.8921092945, 11.0183370839, 0] 

[560, 3.7813086877, 3.2518078348, 0] 

[570, 3.7917557601, 6.0591291345, 0] 

[580, 3.7817882496, 10.0709493886, 0] 

[590, 3.6810624678, 3.1427847821, 0] 

[600, 3.63978191, 1.4697801341, 0] 

[610, 4.0070727002, 2.5139311086, 0] 

[620, 3.6961072985, 2.5958897135, 0] 

[630, 3.6665089366, 6.9737953518, 0] 

[640, 3.7453888275, 4.443613467, 0] 

[650, 3.9837187044, 0.9625820492, 0] 

[660, 3.7666703109, 3.0899399467, 0] 

[670, 3.6296846159, 4.1353328539, 0] 

[680, 3.589005355, 8.0505450705, 0] 

[690, 3.6574418623, 4.816341566, 0] 

[700, 3.5781592065, 3.9511552894, 0] 

[710, 3.9576452905, 5.9188690186, 0] 

[720, 3.9618298876, 7.9565164317, 0] 

[730, 3.9013903272, 12.904867421, 0] 

[740, 3.6521532667, 2.2371255626, 0] 

[750, 3.7033654517, 4.1081562872, 0] 

[760, 3.6536040254, 6.7028145168, 0] 

[770, 3.6335905306, 8.5356770391, 0] 

[780, 3.5228523003, 2.0656943943, 0] 

[790, 3.8302944309, 3.1680440488, 0] 

[800, 3.9788630559, 5.7311766251, 0] 

[810, 3.6790543441, 5.2783349079, 0] 

[820, 3.84584364, 6.1645594058, 0] 

[830, 3.5448511145, 5.6307505732, 0] 

[840, 3.4402687157, 8.757647307, 0] 

[850, 3.8749121362, 3.8207921567, 0] 

[860, 4.0180841802, 5.9059919274, 0] 

[870, 3.3098261907, 4.0769454293, 0] 

[880, 3.7498014681, 5.7656196926, 0] 

[890, 3.645070841, 1.6642393029, 0] 

[900, 3.8228451236, 1.5648269653, 0] 

[910, 3.4704700512, 8.7792457912, 0] 

[920, 3.4855893313, 9.4624434761, 0] 

[930, 3.387325748, 1.5152146713, 0] 

[940, 3.8433569604, 1.8584284575, 0] 

[950, 3.4827065939, 3.4484478494, 0] 

[960, 3.4935104873, 8.3874047321, 0] 

[970, 3.3806175819, 5.3219833374, 0] 

[980, 3.6962967757, 1.884444527, 0] 

[990, 3.4171682505, 3.4703879978, 0] 

